,DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge,income_bin
408,121EP04,44235.3064161,black,EP04,EP04,5058.0,66.0,2106.0,2187.0,0.0,0.0,both,low
409,121CP051,51275.8443223,black,CP051,CP051,1379.0,23.0,675.0,700.0,0.0,0.0,both,mid
410,121CP07A,35016.0003381,black,CP07A,CP07A,1077.0,5.0,211.0,218.0,0.0,0.0,both,low
411,12111P,45767.3397957,black,11P,11P,1538.0,11.0,706.0,722.0,0.0,0.0,both,low
412,121SC10,41164.0363432,black,SC10,SC10,1369.0,10.0,504.0,518.0,0.0,0.0,both,low
413,121CP081,41166.0001052,black,CP081,CP081,266.0,1.0,60.0,61.0,0.0,0.0,both,low
415,121SC17A,48657.006409,black,SC17A,SC17A,39.0,1.0,19.0,20.0,0.0,0.0,both,low
416,121SC17C,40697.9825237,black,SC17C,SC17C,949.0,20.0,506.0,529.0,0.0,0.0,both,low
417,121SC19A,39780.2115605,black,SC19A,SC19A,150.0,3.0,93.0,97.0,0.0,0.0,both,low
418,121SC18A,53108.6451605,black,SC18A,SC18A,447.0,1.0,215.0,219.0,0.0,0.0,both,mid
419,12111E3,50016.1480866,black,11E3,11E3,2427.0,16.0,1050.0,1069.0,0.0,0.0,both,mid
420,12111E1,51445.000011,black,11E1,11E1,899.0,19.0,419.0,439.0,0.0,0.0,both,mid
421,12111E2,51445.0,black,11E2,11E2,720.0,8.0,395.0,407.0,0.0,0.0,both,mid
422,121UC02A,58366.7049726,black,UC02A,UC02A,5325.0,99.0,2488.0,2602.0,0.0,0.0,both,mid
423,121SC08F,48657.0,black,SC08F,SC08F,626.0,14.0,247.0,264.0,0.0,0.0,both,low
424,121SC01B,87927.9411808,black,SC01B,SC01B,3229.0,46.0,2024.0,2080.0,0.0,0.0,both,mid
425,121SC02,71485.7392749,black,SC02,SC02,1171.0,14.0,789.0,808.0,0.0,0.0,both,mid
426,121SC16,81562.9999511,black,SC16,SC16,3574.0,35.0,2125.0,2168.0,0.0,0.0,both,mid
428,12111C,71432.8537365,black,11C,11C,2231.0,26.0,1334.0,1367.0,0.0,0.0,both,mid
429,121SC30A,71467.0,black,SC30A,SC30A,131.0,1.0,80.0,81.0,0.0,0.0,both,mid
430,12110A,37740.3164043,black,10A,10A,2388.0,11.0,1340.0,1361.0,0.0,0.0,both,low
431,12110C,29262.0318226,black,10C,10C,2071.0,7.0,777.0,788.0,0.0,0.0,both,low
432,12111N,50322.0366046,black,11N,11N,1846.0,16.0,1078.0,1098.0,0.0,0.0,both,mid
433,12111M,52641.9999697,black,11M,11M,2573.0,12.0,1146.0,1167.0,0.0,0.0,both,mid
434,121SC30B,61707.4505136,black,SC30B,SC30B,1088.0,11.0,543.0,557.0,0.0,0.0,both,mid
435,12110L,72578.9996085,black,10L,10L,2571.0,26.0,1524.0,1564.0,0.0,0.0,both,mid
436,12110R,27503.9998312,black,10R,10R,631.0,2.0,261.0,265.0,0.0,0.0,both,low
437,12110B,72579.0,black,10B,10B,555.0,8.0,359.0,369.0,0.0,0.0,both,mid
438,12110I,71919.2251782,black,10I,10I,316.0,6.0,205.0,212.0,0.0,0.0,both,mid
439,12110H,31296.7654716,black,10H,10H,2106.0,18.0,899.0,922.0,0.0,0.0,both,low
440,121EP02,43866.7971891,black,EP02,EP02,4425.0,195.0,1728.0,1948.0,0.0,0.0,both,low
441,12111B,65759.240361,black,11B,11B,3889.0,34.0,2092.0,2134.0,0.0,0.0,both,mid
442,12110D,26177.6079698,black,10D,10D,3386.0,15.0,1374.0,1402.0,0.0,0.0,both,low
444,12110P,32046.999984,black,10P,10P,1150.0,4.0,504.0,510.0,0.0,0.0,both,low
445,12109C,40447.9996988,black,09C,09C,2380.0,21.0,1119.0,1149.0,0.0,0.0,both,low
446,12109B,35970.8214809,black,09B,09B,337.0,2.0,119.0,122.0,0.0,0.0,both,low
447,12109L,40094.0606534,black,09L,09L,1479.0,23.0,538.0,565.0,0.0,0.0,both,low
448,12111R,21537.9448448,black,11R,11R,1475.0,3.0,458.0,466.0,0.0,0.0,both,low
449,12111K,42006.4885368,black,11K,11K,1516.0,20.0,853.0,877.0,0.0,0.0,both,low
450,12111G,25664.1565825,black,11G,11G,1822.0,17.0,552.0,575.0,0.0,0.0,both,low
451,12112I,28534.9013759,black,12I,12I,782.0,2.0,291.0,295.0,0.0,0.0,both,low
452,12112C,41225.9998394,black,12C,12C,1231.0,19.0,514.0,541.0,0.0,0.0,both,low
453,12104S,46545.999876,black,04S,04S,1792.0,13.0,840.0,860.0,0.0,0.0,both,low
454,12104X1,35759.0200937,black,04X1,04X1,1508.0,9.0,670.0,683.0,0.0,0.0,both,low
455,12104M,21568.0,black,04M,04M,580.0,6.0,192.0,200.0,0.0,0.0,both,low
456,12104T,35386.0,black,04T,04T,922.0,4.0,421.0,426.0,0.0,0.0,both,low
457,12110M,36298.822261,black,10M,10M,1998.0,17.0,882.0,911.0,0.0,0.0,both,low
458,12104X2,35959.1343464,black,04X2,04X2,595.0,7.0,200.0,209.0,0.0,0.0,both,low
459,12104L,36129.9999521,black,04L,04L,1233.0,18.0,455.0,478.0,0.0,0.0,both,low
460,12104D,35651.9999567,black,04D,04D,1190.0,9.0,521.0,534.0,0.0,0.0,both,low
461,12104G,36778.0,black,04G,04G,592.0,4.0,195.0,200.0,0.0,0.0,both,low
462,12104A,30341.9999945,black,04A,04A,1024.0,8.0,352.0,365.0,0.0,0.0,both,low
463,12104K,35074.0841761,black,04K,04K,1889.0,27.0,762.0,793.0,0.0,0.0,both,low
464,12104W,38930.9239721,black,04W,04W,1434.0,9.0,260.0,276.0,0.0,0.0,both,low
465,12110F,40447.8169444,black,10F,10F,897.0,12.0,472.0,486.0,0.0,0.0,both,low
466,12103S,35997.0000039,black,03S,03S,583.0,4.0,230.0,237.0,0.0,0.0,both,low
467,12109D,26088.6688216,black,09D,09D,1612.0,7.0,630.0,642.0,0.0,0.0,both,low
468,12103C,39291.3838513,black,03C,03C,1300.0,7.0,500.0,507.0,0.0,0.0,both,low
469,12103H,35997.0000251,black,03H,03H,798.0,4.0,245.0,251.0,0.0,0.0,both,low
495,12108E,269010.312053,white,08E,08E,2262.0,999.0,511.0,1525.0,0.0,0.0,both,high
534,089SM,67964.3714773,black,SALEM MIDDLE,SALEM MIDDLE,2738.0,53.0,1590.0,1649.0,0.0,0.0,both,mid
535,089MV,79162.9997618,black,MILLER GROVE ROAD,MILLER GROVE ROAD,1797.0,46.0,1054.0,1103.0,0.0,0.0,both,mid
536,089CC,37708.5424923,black,COLUMBIA ELEM,COLUMBIA ELEM,1213.0,9.0,489.0,506.0,0.0,0.0,both,low
537,089FL,53082.3465227,black,FLAT SHOALS LIBRARY,FLAT SHOALS LIBRARY,1956.0,19.0,838.0,866.0,0.0,0.0,both,mid
538,089CM,48321.456227,black,COLUMBIA MIDDLE,COLUMBIA MIDDLE,1621.0,19.0,611.0,638.0,0.0,0.0,both,low
539,089TC,31018.0001088,black,TONEY ELEM,TONEY ELEM,1343.0,19.0,687.0,710.0,0.0,0.0,both,low
542,089SG,49201.5433753,black,SNAPFINGER ELEM,SNAPFINGER ELEM,1535.0,28.0,907.0,941.0,0.0,0.0,both,low
546,089NC,60236.9999293,black,NORTH HAIRSTON,NORTH HAIRSTON,1663.0,106.0,668.0,787.0,0.0,0.0,both,mid
555,121JC01,145436.99994,,JC01,JC01,3829.0,987.0,686.0,1687.0,0.0,0.0,both,high
557,089MN,41417.7465845,black,MEMORIAL SOUTH,MEMORIAL SOUTH,1454.0,54.0,463.0,528.0,0.0,0.0,both,low
558,089MM,43097.1164635,black,MEMORIAL NORTH,MEMORIAL NORTH,2360.0,144.0,780.0,944.0,0.0,0.0,both,low
559,089WB,56502.0,black,WESLEY CHAPEL LIBRARY,WESLEY CHAPEL LIBRARY,2485.0,46.0,1491.0,1542.0,0.0,0.0,both,mid
561,089MF,65251.9999564,black,MCWILLIAMS,MCWILLIAMS,1702.0,35.0,943.0,986.0,0.0,0.0,both,mid
563,089BM,53747.6837004,black,BETHUNE MIDDLE,BETHUNE MIDDLE,3394.0,54.0,1642.0,1703.0,0.0,0.0,both,mid
564,089SD,71286.1437994,black,STONE MOUNTAIN ELEM,STONE MOUNTAIN ELEM,1857.0,345.0,714.0,1081.0,0.0,0.0,both,mid
565,089WN,73882.004222,black,WYNBROOKE ELEM,WYNBROOKE ELEM,2688.0,110.0,1503.0,1629.0,0.0,0.0,both,mid
566,089ST,77019.3781422,black,STEPHENSON MIDDLE,STEPHENSON MIDDLE,2797.0,102.0,1433.0,1547.0,0.0,0.0,both,mid
567,089SO,76661.6416358,black,SOUTH DESHON,SOUTH DESHON,2643.0,51.0,1307.0,1366.0,0.0,0.0,both,mid
569,089VB,47316.0002603,,VALLEY BROOK,VALLEY BROOK,717.0,115.0,276.0,411.0,0.0,0.0,both,low
570,089SC,53268.7732685,black,SHAW-ROBERT SHAW ELEM,SHAW-ROBERT SHAW ELEM,2794.0,182.0,1061.0,1274.0,0.0,0.0,both,mid
572,089RG,35326.7998836,black,ROWLAND ELEM,ROWLAND ELEM,2686.0,84.0,1003.0,1100.0,0.0,0.0,both,low
573,089DE,58731.7910895,black,DUNAIRE ELEM,DUNAIRE ELEM,1572.0,114.0,674.0,800.0,0.0,0.0,both,mid
574,089AA,63471.9998234,black,ALLGOOD ELEM,ALLGOOD ELEM,2163.0,136.0,1064.0,1216.0,0.0,0.0,both,mid
575,089IB,37167.245448,black,INDIAN CREEK ELEM,INDIAN CREEK ELEM,1583.0,78.0,515.0,606.0,0.0,0.0,both,low
592,121SS12,124374.241597,white,SS12,SS12,2178.0,712.0,488.0,1209.0,0.0,0.0,both,high
593,121SS07C,108524.999954,white,SS07C,SS07C,636.0,182.0,112.0,299.0,0.0,0.0,both,high
594,121SS07B,108524.999331,white,SS07B,SS07B,402.0,111.0,73.0,192.0,0.0,0.0,both,high
595,121SS07A,84328.9999613,white,SS07A,SS07A,803.0,318.0,146.0,467.0,0.0,0.0,both,mid
596,121SS08B,108524.991486,white,SS08B,SS08B,563.0,206.0,104.0,312.0,0.0,0.0,both,high
597,121SS02B,90477.0,white,SS02B,SS02B,1054.0,121.0,267.0,396.0,0.0,0.0,both,mid
598,121SS08C,84329.0001405,white,SS08C,SS08C,526.0,96.0,118.0,219.0,0.0,0.0,both,mid
599,121SS04,74517.0043037,,SS04,SS04,2496.0,485.0,576.0,1084.0,0.0,0.0,both,mid
600,121SS08A,108525.000018,white,SS08A,SS08A,845.0,149.0,208.0,367.0,0.0,0.0,both,high
601,121SS08D,108525.020545,white,SS08D,SS08D,889.0,172.0,214.0,390.0,0.0,0.0,both,high
602,121SS29A,103129.00006,,SS29A,SS29A,2374.0,546.0,485.0,1054.0,0.0,0.0,both,high
603,089LC,91469.3933821,,LAVISTA,LAVISTA,2108.0,351.0,574.0,954.0,0.0,0.0,both,mid
604,12106J,45081.057745,,06J,06J,2310.0,295.0,940.0,1257.0,0.0,0.0,both,low
605,12106E,72178.7174635,white,06E,06E,1869.0,183.0,607.0,799.0,0.0,0.0,both,mid
606,12106Q,74875.0001423,white,06Q,06Q,422.0,14.0,98.0,113.0,0.0,0.0,both,mid
607,12106S,59200.5701212,white,06S,06S,2935.0,464.0,1300.0,1786.0,0.0,0.0,both,mid
608,12106H,59582.2674532,white,06H,06H,1530.0,297.0,650.0,963.0,0.0,0.0,both,mid
609,12106D,71373.3689554,white,06D,06D,2611.0,299.0,816.0,1141.0,0.0,0.0,both,mid
610,089MB,66331.6333265,black,MCNAIR HIGH,MCNAIR HIGH,2893.0,84.0,1300.0,1400.0,0.0,0.0,both,mid
611,089LH,55563.9999656,black,LITHONIA HIGH,LITHONIA HIGH,2379.0,27.0,1088.0,1127.0,0.0,0.0,both,mid
612,089RH,49647.55742,black,REDAN-TROTTI LIBRARY,REDAN-TROTTI LIBRARY,2928.0,52.0,1418.0,1478.0,0.0,0.0,both,low
613,089WD,56197.9405044,black,WOODROW ROAD,WOODROW ROAD,4622.0,113.0,1957.0,2083.0,0.0,0.0,both,mid
615,089SL,43697.5894288,black,STONEVIEW ELEM,STONEVIEW ELEM,1317.0,25.0,494.0,523.0,0.0,0.0,both,low
616,089PC,72649.0000008,black,PRINCETON ELEM,PRINCETON ELEM,1709.0,43.0,856.0,909.0,0.0,0.0,both,mid
617,089RC,72655.0937844,black,REDAN ELEM,REDAN ELEM,2306.0,44.0,1199.0,1251.0,0.0,0.0,both,mid
618,089SV,72877.0000043,black,STEPHENSON HIGH,STEPHENSON HIGH,2677.0,81.0,1347.0,1439.0,0.0,0.0,both,mid
619,12108L,87289.0007578,white,08L,08L,2982.0,528.0,772.0,1326.0,0.0,0.0,both,mid
620,12102W,87766.0,white,02W,02W,378.0,20.0,100.0,122.0,0.0,0.0,both,mid
621,12103F,86784.2560239,white,03F,03F,1463.0,99.0,388.0,504.0,0.0,0.0,both,mid
622,12102A,46303.0001382,white,02A,02A,3102.0,310.0,974.0,1309.0,0.0,0.0,both,low
623,12106R,37734.6990054,hispanic,06R,06R,1473.0,197.0,606.0,811.0,0.0,0.0,both,low
624,12106N,109896.950179,white,06N,06N,1754.0,336.0,448.0,795.0,0.0,0.0,both,high
625,12106L2,87766.0000903,white,06L2,06L2,612.0,136.0,245.0,385.0,0.0,0.0,both,mid
626,12102S,57249.8912256,,02S,02S,620.0,11.0,229.0,246.0,0.0,0.0,both,mid
627,12105J,42941.585985,black,05J,05J,468.0,30.0,211.0,244.0,0.0,0.0,both,low
629,12102B,57686.6943556,,02B,02B,2871.0,98.0,648.0,756.0,0.0,0.0,both,mid
631,12105K,30532.5617551,black,05K,05K,1806.0,32.0,538.0,578.0,0.0,0.0,both,low
632,12105D,52260.4903887,,05D,05D,243.0,2.0,36.0,38.0,0.0,0.0,both,mid
633,12105F,29512.0,white,05F,05F,12.0,1.0,2.0,4.0,0.0,0.0,both,low
634,12102L2,100864.999874,white,02L2,02L2,861.0,90.0,251.0,347.0,0.0,0.0,both,high
635,12102C,29512.0016958,white,02C,02C,1573.0,55.0,577.0,645.0,0.0,0.0,both,low
636,12102L1,45188.9725985,hispanic,02L1,02L1,4462.0,308.0,1338.0,1689.0,0.0,0.0,both,low
637,12102K,42950.0,,02K,02K,1206.0,83.0,441.0,541.0,0.0,0.0,both,low
638,12108P,67895.2872147,white,08P,08P,1062.0,123.0,312.0,442.0,0.0,0.0,both,mid
639,12108K,138803.068553,white,08K,08K,885.0,193.0,188.0,389.0,0.0,0.0,both,high
640,089CP,57954.9855647,black,CROSSROADS,CROSSROADS,2285.0,62.0,1189.0,1258.0,0.0,0.0,both,mid
641,089FA,48858.0000259,black,FAIRINGTON ELEM,FAIRINGTON ELEM,3536.0,48.0,1440.0,1498.0,0.0,0.0,both,low
642,089PR,39873.7596373,black,PANOLA ROAD,PANOLA ROAD,1561.0,9.0,370.0,380.0,0.0,0.0,both,low
643,089PI,65558.0327844,black,PANOLA WAY ELEM,PANOLA WAY ELEM,1542.0,25.0,592.0,624.0,0.0,0.0,both,mid
644,089YA,65615.1257733,black,YOUNG ROAD,YOUNG ROAD,1493.0,36.0,870.0,913.0,0.0,0.0,both,mid
645,089RM,50272.9792647,black,REDAN MIDDLE,REDAN MIDDLE,1932.0,65.0,964.0,1037.0,0.0,0.0,both,mid
646,089MC,55545.1416782,black,MARBUT ELEM,MARBUT ELEM,3243.0,27.0,1461.0,1502.0,0.0,0.0,both,mid
647,089RK,55080.0000084,black,REDAN ROAD,REDAN ROAD,2131.0,44.0,1020.0,1076.0,0.0,0.0,both,mid
648,089WG,51184.0000336,black,WOODRIDGE ELEM,WOODRIDGE ELEM,2684.0,84.0,1284.0,1388.0,0.0,0.0,both,mid
649,089RJ,63090.4975492,black,ROWLAND ROAD,ROWLAND ROAD,1567.0,99.0,754.0,857.0,0.0,0.0,both,mid
650,089WK,47216.0000308,black,WHITE OAK,WHITE OAK,2143.0,27.0,829.0,867.0,0.0,0.0,both,low
651,089FM,56095.4040655,black,FREEDOM MIDDLE,FREEDOM MIDDLE,2282.0,135.0,993.0,1138.0,0.0,0.0,both,mid
653,089HA,50233.8643098,black,HAMBRICK ELEM,HAMBRICK ELEM,2536.0,167.0,1003.0,1193.0,0.0,0.0,both,mid
655,089SJ,36927.3545,black,STONE MILL ELEM,STONE MILL ELEM,2442.0,51.0,631.0,691.0,0.0,0.0,both,low
670,089FB,198544.827023,white,FERNBANK ELEM,FERNBANK ELEM,2029.0,354.0,1067.0,1443.0,0.0,0.0,both,high
671,089EG,119116.973185,white,EMORY SOUTH,EMORY SOUTH,2939.0,420.0,1006.0,1451.0,0.0,0.0,both,high
673,089BC,88264.1679836,white,BRIAR VISTA ELEM,BRIAR VISTA ELEM,2355.0,326.0,765.0,1124.0,0.0,0.0,both,mid
674,089DH,134869.307608,white,DRUID HILLS HIGH,DRUID HILLS HIGH,2042.0,291.0,809.0,1120.0,0.0,0.0,both,high
675,089ER,61829.8290046,white,EMORY ROAD,EMORY ROAD,875.0,94.0,282.0,381.0,0.0,0.0,both,mid
676,089LB,75148.8796866,white,LAVISTA ROAD,LAVISTA ROAD,1752.0,353.0,612.0,995.0,0.0,0.0,both,mid
678,089TF,96314.9255889,white,TUCKER,TUCKER,2462.0,773.0,709.0,1544.0,0.0,0.0,both,mid
679,089HG,86195.7687577,,HUGH HOWELL,HUGH HOWELL,1482.0,513.0,492.0,1024.0,0.0,0.0,both,mid
683,089SU,60509.8194421,black,SOUTH HAIRSTON,SOUTH HAIRSTON,2764.0,74.0,1277.0,1367.0,0.0,0.0,both,mid
684,089PH,63450.9241653,black,PANOLA,PANOLA,1165.0,45.0,649.0,698.0,0.0,0.0,both,mid
685,089SK,72872.6533676,black,SHADOW ROCK ELEM,SHADOW ROCK ELEM,3272.0,97.0,1803.0,1919.0,0.0,0.0,both,mid
688,12108H,226996.999074,white,08H,08H,2130.0,861.0,498.0,1363.0,0.0,0.0,both,high
692,121JC11,122981.463271,white,JC11,JC11,2713.0,919.0,394.0,1340.0,0.0,0.0,both,high
693,121JC09,120359.978589,white,JC09,JC09,2396.0,603.0,478.0,1101.0,0.0,0.0,both,high
694,121JC07,126839.488816,white,JC07,JC07,3223.0,872.0,567.0,1467.0,0.0,0.0,both,high
695,121AP12C,85109.9573477,,AP12C,AP12C,912.0,292.0,152.0,451.0,0.0,0.0,both,mid
696,089SN,75154.0001454,white,SHAMROCK,SHAMROCK,1352.0,311.0,502.0,833.0,0.0,0.0,both,mid
697,089ND,110455.999955,white,NORTHLAKE,NORTHLAKE,1244.0,335.0,435.0,793.0,0.0,0.0,both,high
698,089BD,155996.999767,white,BRIARLAKE ELEM,BRIARLAKE ELEM,1484.0,475.0,461.0,962.0,0.0,0.0,both,high
699,089RD,97723.8880976,white,REHOBOTH,REHOBOTH,1754.0,367.0,626.0,1027.0,0.0,0.0,both,mid
700,089WI,56205.1077989,,WARREN TECH,WARREN TECH,1728.0,370.0,462.0,861.0,0.0,0.0,both,mid
708,089MW,94871.7683969,white,MIDVALE ROAD,MIDVALE ROAD,2372.0,533.0,754.0,1320.0,0.0,0.0,both,mid
709,089HC,86202.9956996,white,HENDERSON MILL ELEM,HENDERSON MILL ELEM,2456.0,656.0,754.0,1440.0,0.0,0.0,both,mid
710,089MK,82430.2820955,white,MONTREAL,MONTREAL,1344.0,252.0,445.0,715.0,0.0,0.0,both,mid
711,089JB,43895.1366532,black,JOLLY ELEM,JOLLY ELEM,2175.0,82.0,682.0,774.0,0.0,0.0,both,low
716,089HI,84529.649367,white,HARRIS-MARGARET HARRIS ED,HARRIS-MARGARET HARRIS ED,1924.0,215.0,579.0,815.0,0.0,0.0,both,mid
717,089BG,82487.2273616,white,BRIARCLIFF,BRIARCLIFF,2402.0,558.0,704.0,1286.0,0.0,0.0,both,mid
718,089MJ,53960.4135568,hispanic,MONTCLAIR ELEM,MONTCLAIR ELEM,1399.0,76.0,410.0,497.0,0.0,0.0,both,mid
724,089OA,102700.673396,white,OAK GROVE ELEM,OAK GROVE ELEM,1874.0,531.0,599.0,1159.0,0.0,0.0,both,high
725,089CW,88732.4900975,white,CORALWOOD,CORALWOOD,2693.0,646.0,1034.0,1719.0,0.0,0.0,both,mid
726,089SA,152270.048599,white,SAGAMORE HILLS ELEM,SAGAMORE HILLS ELEM,2535.0,752.0,946.0,1734.0,0.0,0.0,both,high
727,089LA,127376.406513,white,LAKESIDE HIGH,LAKESIDE HIGH,2669.0,824.0,887.0,1750.0,0.0,0.0,both,high
729,089HB,89142.956877,white,HAWTHORNE ELEM,HAWTHORNE ELEM,3335.0,591.0,1019.0,1646.0,0.0,0.0,both,mid
731,089CR,60412.9860109,black,CEDAR GROVE MIDDLE,CEDAR GROVE MIDDLE,1377.0,19.0,577.0,600.0,0.0,0.0,both,mid
732,089FJ,49299.9421385,black,FLAT SHOALS,FLAT SHOALS,1666.0,26.0,764.0,799.0,0.0,0.0,both,low
733,089FC,40205.6109299,black,FLAT SHOALS ELEM,FLAT SHOALS ELEM,1743.0,28.0,804.0,843.0,0.0,0.0,both,low
734,089MP,63298.9618907,black,MCNAIR ACADEMY,MCNAIR ACADEMY,1545.0,35.0,755.0,800.0,0.0,0.0,both,mid
744,12112M,32997.0398197,black,12M,12M,230.0,1.0,109.0,110.0,0.0,0.0,both,low
745,12112J,32930.0000227,black,12J,12J,2093.0,22.0,788.0,814.0,0.0,0.0,both,low
746,12112H,32339.3658542,black,12H,12H,2829.0,32.0,1034.0,1072.0,0.0,0.0,both,low
747,063FP2,36140.1578396,black,FOREST PARK 2,FOREST PARK 2,1815.0,155.0,629.0,798.0,0.0,0.0,both,low
748,12112T,32949.4699222,black,12T,12T,1807.0,10.0,723.0,738.0,0.0,0.0,both,low
749,063MO2,47053.9136763,black,MORROW 2,MORROW 2,1475.0,274.0,418.0,706.0,0.0,0.0,both,low
750,063MO7,46943.0012069,black,MORROW 7,MORROW 7,1452.0,137.0,487.0,635.0,0.0,0.0,both,low
751,089GB,51183.999986,black,GLENHAVEN,GLENHAVEN,1275.0,80.0,559.0,646.0,0.0,0.0,both,mid
752,089AI,86539.3731549,white,AVONDALE HIGH,AVONDALE HIGH,2640.0,220.0,1243.0,1494.0,0.0,0.0,both,mid
755,089CU,45725.1472133,black,COVINGTON,COVINGTON,1907.0,86.0,579.0,684.0,0.0,0.0,both,low
756,089NB,57972.1051015,,NORTH DECATUR,NORTH DECATUR,1342.0,119.0,471.0,607.0,0.0,0.0,both,mid
757,089ME,47316.0000925,,MCLENDON,MCLENDON,1857.0,167.0,674.0,867.0,0.0,0.0,both,low
758,063LC1,50361.1557331,,LAKE CITY,LAKE CITY,2027.0,126.0,654.0,799.0,0.0,0.0,both,mid
759,063MO4,47832.7742799,black,MORROW 4,MORROW 4,1464.0,161.0,480.0,656.0,0.0,0.0,both,low
760,063MO9,44338.0001804,black,MORROW 9,MORROW 9,1030.0,89.0,431.0,532.0,0.0,0.0,both,low
761,063MO6,58798.2297341,black,MORROW 6,MORROW 6,1994.0,193.0,797.0,1004.0,0.0,0.0,both,mid
762,063MO3,50130.6568649,,MORROW 3,MORROW 3,3265.0,238.0,1208.0,1470.0,0.0,0.0,both,mid
764,089MR,59521.993967,black,MATHIS-BOB MATHIS ELEM,MATHIS-BOB MATHIS ELEM,2343.0,81.0,1381.0,1476.0,0.0,0.0,both,mid
765,089RA,56147.2972574,black,RAINBOW ELEM,RAINBOW ELEM,2974.0,75.0,1624.0,1709.0,0.0,0.0,both,mid
766,089KC,56502.0000084,black,KELLEY CHAPEL ROAD,KELLEY CHAPEL ROAD,1087.0,28.0,670.0,700.0,0.0,0.0,both,mid
767,089CA,49146.9999949,black,COLUMBIA DRIVE,COLUMBIA DRIVE,1862.0,40.0,831.0,873.0,0.0,0.0,both,low
768,089AF,42576.6152659,black,AUSTIN DRIVE,AUSTIN DRIVE,1860.0,41.0,748.0,801.0,0.0,0.0,both,low
769,089CB,44949.8348805,black,CANBY LANE ELEM,CANBY LANE ELEM,1531.0,30.0,805.0,843.0,0.0,0.0,both,low
771,089GF,46753.2187242,black,GLENWOOD ROAD,GLENWOOD ROAD,1528.0,46.0,603.0,660.0,0.0,0.0,both,low
772,063MO1,40974.4173442,,MORROW 1,MORROW 1,2104.0,112.0,877.0,1003.0,0.0,0.0,both,low
774,063EW1,56862.2945303,black,ELLENWOOD,ELLENWOOD,4329.0,171.0,2284.0,2485.0,0.0,0.0,both,mid
775,089CS,65998.398768,black,CEDAR GROVE SOUTH,CEDAR GROVE SOUTH,2920.0,78.0,1631.0,1720.0,0.0,0.0,both,mid
776,089CD,67577.9549057,black,CEDAR GROVE ELEM,CEDAR GROVE ELEM,3189.0,58.0,1718.0,1786.0,0.0,0.0,both,mid
777,12112F,38291.6535249,black,12F,12F,709.0,3.0,267.0,276.0,0.0,0.0,both,low
778,12104V,24285.8435641,black,04V,04V,2123.0,13.0,671.0,689.0,0.0,0.0,both,low
779,12104I,53217.466991,black,04I,04I,2039.0,33.0,310.0,349.0,0.0,0.0,both,mid
780,12101F,25282.0000225,black,01F,01F,960.0,5.0,255.0,264.0,0.0,0.0,both,low
781,12101G,44017.9664044,black,01G,01G,1578.0,35.0,605.0,652.0,0.0,0.0,both,low
782,12101D,52036.5347394,black,01D,01D,825.0,27.0,378.0,407.0,0.0,0.0,both,mid
783,12101H,24479.6984578,black,01H,01H,626.0,4.0,216.0,220.0,0.0,0.0,both,low
784,12105B,37228.5098978,black,05B,05B,1372.0,19.0,470.0,502.0,0.0,0.0,both,low
785,12101S,36673.1016468,black,01S,01S,1360.0,10.0,545.0,558.0,0.0,0.0,both,low
787,12101T,55133.2093864,,01T,01T,1145.0,43.0,386.0,442.0,0.0,0.0,both,mid
788,12101P,39242.6726698,black,01P,01P,977.0,7.0,421.0,431.0,0.0,0.0,both,low
789,12101R,20891.6639949,black,01R,01R,1129.0,4.0,348.0,354.0,0.0,0.0,both,low
790,12101E,90784.1397842,white,01E,01E,2288.0,206.0,1098.0,1332.0,0.0,0.0,both,mid
791,12101A,92952.9622934,white,01A,01A,2625.0,119.0,1235.0,1381.0,0.0,0.0,both,mid
792,12105A1,39463.2967499,black,05A1,05A1,1966.0,87.0,812.0,922.0,0.0,0.0,both,low
793,12101B,80095.1839086,,01B,01B,3124.0,217.0,1494.0,1753.0,0.0,0.0,both,mid
794,089KA,41734.4224844,black,KELLEY LAKE ELEM,KELLEY LAKE ELEM,2307.0,45.0,1046.0,1099.0,0.0,0.0,both,low
795,089CQ,48441.992136,black,CANDLER,CANDLER,2530.0,43.0,885.0,946.0,0.0,0.0,both,low
801,089GC,55032.6402231,black,GRESHAM ROAD,GRESHAM ROAD,2426.0,63.0,1124.0,1206.0,0.0,0.0,both,mid
804,089PN,49885.9618547,black,PINEY GROVE,PINEY GROVE,1378.0,22.0,507.0,541.0,0.0,0.0,both,low
806,12102G,59375.0279533,black,02G,02G,2584.0,139.0,980.0,1140.0,0.0,0.0,both,mid
807,12102D,51385.098194,black,02D,02D,2986.0,116.0,1085.0,1219.0,0.0,0.0,both,mid
808,12102F2,27533.0,hispanic,02F2,02F2,552.0,17.0,177.0,201.0,0.0,0.0,both,low
809,12102J,27533.0003873,hispanic,02J,02J,1885.0,132.0,712.0,864.0,0.0,0.0,both,low
810,12106G,27533.0,hispanic,06G,06G,400.0,36.0,165.0,204.0,0.0,0.0,both,low
811,12106B,75487.0,white,06B,06B,1566.0,158.0,580.0,753.0,0.0,0.0,both,mid
812,12102E,25350.6313556,black,02E,02E,1657.0,102.0,847.0,973.0,0.0,0.0,both,low
813,12102F1,42909.2731933,white,02F1,02F1,2350.0,163.0,891.0,1077.0,0.0,0.0,both,low
