Precinct,County,CRUZ,J.,total
LOST MOUNTAIN 03,Cobb,69,69,138
LOST MOUNTAIN 04,Cobb,69,69,138
LEWIS 01,Cobb,69,69,138
MABLETON 01,Cobb,69,69,138
MABLETON 02,Cobb,69,69,138
MABLETON 03,Cobb,69,69,138
MABLETON 04,Cobb,69,69,138
MABRY 01,Cobb,69,69,138
MACLAND 01,Cobb,69,69,138
MURDOCK 01,Cobb,69,69,138
MCEACHERN 01,Cobb,69,69,138
MCCLESKEY 01,Cobb,69,69,138
MCCLURE 01,Cobb,69,69,138
MARIETTA 1A,Cobb,69,69,138
MARIETTA 2A,Cobb,69,69,138
MARIETTA 2B,Cobb,69,69,138
MARIETTA 3A,Cobb,69,69,138
MARIETTA 4A,Cobb,69,69,138
MARIETTA 4B,Cobb,69,69,138
MARIETTA 4C,Cobb,69,69,138
MARIETTA 5A,Cobb,69,69,138
MARIETTA 5B,Cobb,69,69,138
MARIETTA 6A,Cobb,69,69,138
MARIETTA 6B,Cobb,69,69,138
MARIETTA 7A,Cobb,69,69,138
MARS HILL 01,Cobb,69,69,138
MARS HILL 02,Cobb,69,69,138
MOUNT BETHEL 01,Cobb,69,69,138
MOUNT BETHEL 03,Cobb,69,69,138
MOUNT BETHEL 04,Cobb,69,69,138
NORTH COBB 01,Cobb,69,69,138
NICKAJACK 01,Cobb,69,69,138
NORTON PARK 01,Cobb,69,69,138
NICHOLSON 01,Cobb,69,69,138
OAKDALE 01,Cobb,69,69,138
OREGON 01,Cobb,69,69,138
OREGON 02,Cobb,69,69,138
OREGON 03,Cobb,69,69,138
OREGON 04,Cobb,69,69,138
OREGON 05,Cobb,69,69,138
PEBBLEBROOK 01,Cobb,69,69,138
POWERS FERRY 01,Cobb,69,69,138
PINE MOUNTAIN 01,Cobb,69,69,138
PINE MOUNTAIN 02,Cobb,69,69,138
POST OAK 01,Cobb,69,69,138
POPE 01,Cobb,69,69,138
PALMER 01,Cobb,69,69,138
POWDER SPRINGS 1A,Cobb,69,69,138
POWDER SPRINGS 2A,Cobb,69,69,138
POWDER SPRINGS 3A,Cobb,69,69,138
PITNER 01,Cobb,69,69,138
ROCKY MOUNTAIN 01,Cobb,69,69,138
RIVERSIDE 01,Cobb,69,69,138
ROSWELL 01,Cobb,69,69,138
ROSWELL 02,Cobb,69,69,138
SANDY PLAINS 01,Cobb,69,69,138
SHALLOWFORD FALL 01,Cobb,69,69,138
SIMPSON 01,Cobb,69,69,138
SEWELL MILL 01,Cobb,69,69,138
SEWELL MILL 03,Cobb,69,69,138
SMYRNA 1A,Cobb,69,69,138
SMYRNA 2A,Cobb,69,69,138
SMYRNA 3A,Cobb,69,69,138
SMYRNA 4A,Cobb,69,69,138
SMYRNA 5A,Cobb,69,69,138
SMYRNA 6A,Cobb,69,69,138
SMYRNA 7A,Cobb,69,69,138
SOPE CREEK 01,Cobb,69,69,138
SOPE CREEK 02,Cobb,69,69,138
SOPE CREEK 03,Cobb,69,69,138
SWEETWATER 01,Cobb,69,69,138
SWEETWATER 02,Cobb,69,69,138
TERRELL MILL 01,Cobb,69,69,138
TIMBER RIDGE 01,Cobb,69,69,138
VAUGHN 01,Cobb,69,69,138
VININGS 01,Cobb,69,69,138
VININGS 02,Cobb,69,69,138
VININGS 03,Cobb,69,69,138
VININGS 04,Cobb,69,69,138
WADE GREEN 02,Cobb,69,69,138
WILEO 01,Cobb,69,69,138
ALLGOOD ELEM,DeKalb,69,69,138
ASHFORD DUNWOODY RD,DeKalb,69,69,138
ASHFORD PARK ELEM,DeKalb,69,69,138
ASHFORD PARKSIDE,DeKalb,69,69,138
AUSTIN,DeKalb,69,69,138
AUSTIN DRIVE,DeKalb,69,69,138
AVONDALE,DeKalb,69,69,138
AVONDALE HIGH - 04,DeKalb,69,69,138
AVONDALE HIGH - 05,DeKalb,69,69,138
BETHUNE MIDDLE,DeKalb,69,69,138
BOULDERCREST RD,DeKalb,69,69,138
BOULEVARD,DeKalb,69,69,138
BRIAR VISTA ELEM,DeKalb,69,69,138
BRIARCLIFF,DeKalb,69,69,138
BRIARLAKE ELEM,DeKalb,69,69,138
BRIARWOOD,DeKalb,69,69,138
BROCKETT,DeKalb,69,69,138
BROCKETT ELEM,DeKalb,69,69,138
BROOKHAVEN,DeKalb,69,69,138
BROWNS MILL ELEM,DeKalb,69,69,138
BURGESS ELEM,DeKalb,69,69,138
CANBY LANE ELEM,DeKalb,69,69,138
CANDLER,DeKalb,69,69,138
CANDLER-MURPHEY CANDLER ELEM,DeKalb,69,69,138
CEDAR GROVE ELEM,DeKalb,69,69,138
CEDAR GROVE MIDDLE,DeKalb,69,69,138
CEDAR GROVE SOUTH,DeKalb,69,69,138
CHAMBLEE ,DeKalb,69,69,138
CHAMBLEE 2,DeKalb,69,69,138
CHAPEL HILL ELEM,DeKalb,69,69,138
CHESNUT ELEM,DeKalb,69,69,138
CLAIREMONT EAST,DeKalb,69,69,138
CLAIREMONT WEST,DeKalb,69,69,138
CLAIRMONT ROAD,DeKalb,69,69,138
CLARKSTON,DeKalb,69,69,138
CLIFTON ELEM,DeKalb,69,69,138
COLUMBIA DRIVE,DeKalb,69,69,138
COLUMBIA ELEM,DeKalb,69,69,138
COLUMBIA MIDDLE,DeKalb,69,69,138
CORALWOOD,DeKalb,69,69,138
COVINGTON,DeKalb,69,69,138
COVINGTON HWY LIBRARY,DeKalb,69,69,138
CROSS KEYS HIGH,DeKalb,69,69,138
CROSSROADS,DeKalb,69,69,138
DORAVILLE NORTH,DeKalb,69,69,138
DORAVILLE SOUTH,DeKalb,69,69,138
DRESDEN ELEM,DeKalb,69,69,138
DRUID HILLS HIGH,DeKalb,69,69,138
DUNAIRE ELEM,DeKalb,69,69,138
DUNWOODY,DeKalb,69,69,138
DUNWOODY HIGH,DeKalb,69,69,138
DUNWOODY LIBRARY,DeKalb,69,69,138
EAST LAKE ELEM,DeKalb,69,69,138
EMBRY HILLS,DeKalb,69,69,138
EMORY ROAD,DeKalb,69,69,138
EMORY SOUTH,DeKalb,69,69,138
EPWORTH,DeKalb,69,69,138
EVANSDALE ELEM,DeKalb,69,69,138
FAIRINGTON ELEM,DeKalb,69,69,138
FERNBANK ELEM,DeKalb,69,69,138
FLAKES MILL FIRE STATION,DeKalb,69,69,138
FLAT ROCK ELEM,DeKalb,69,69,138
FLAT SHOALS,DeKalb,69,69,138
FLAT SHOALS ELEM,DeKalb,69,69,138
FLAT SHOALS LIBRARY,DeKalb,69,69,138
FLAT SHOALS PARKWAY,DeKalb,69,69,138
FREEDOM MIDDLE,DeKalb,69,69,138
GEORGETOWN SQUARE,DeKalb,69,69,138
GLENHAVEN,DeKalb,69,69,138
GLENNWOOD - 04,DeKalb,69,69,138
GLENNWOOD - 05,DeKalb,69,69,138
GLENWOOD ROAD,DeKalb,69,69,138
GRESHAM ROAD,DeKalb,69,69,138
HAMBRICK ELEM,DeKalb,69,69,138
HARRIS-MARGARET HARRIS ED,DeKalb,69,69,138
HARRIS-NARVIE J. HARRIS ELEM,DeKalb,69,69,138
HAWTHORNE ELEM,DeKalb,69,69,138
HENDERSON MILL ELEM,DeKalb,69,69,138
HUGH HOWELL,DeKalb,69,69,138
HUNTLEY HILLS ELEM,DeKalb,69,69,138
IDLEWOOD ELEM,DeKalb,69,69,138
INDIAN CREEK ELEM,DeKalb,69,69,138
JOHNSON ESTATES,DeKalb,69,69,138
JOLLY ELEM,DeKalb,69,69,138
KELLEY CHAPEL ROAD,DeKalb,69,69,138
KELLEY LAKE ELEM,DeKalb,69,69,138
KING-ML KING JR HIGH,DeKalb,69,69,138
KINGSLEY ELEM,DeKalb,69,69,138
KNOLLWOOD ELEM,DeKalb,69,69,138
KITTREDGE ELEM,DeKalb,69,69,138
LAKESIDE HIGH,DeKalb,69,69,138
LAVISTA,DeKalb,69,69,138
LAVISTA ROAD,DeKalb,69,69,138
LIN-MARY LIN ELEM,DeKalb,69,69,138
LITHONIA,DeKalb,69,69,138
LITHONIA HIGH,DeKalb,69,69,138
LIVSEY ELEM,DeKalb,69,69,138
MARBUT ELEM,DeKalb,69,69,138
MATHIS-BOB MATHIS ELEM,DeKalb,69,69,138
MCLENDON,DeKalb,69,69,138
MCNAIR ACADEMY,DeKalb,69,69,138
MCNAIR HIGH,DeKalb,69,69,138
MCNAIR MIDDLE,DeKalb,69,69,138
MCWILLIAMS,DeKalb,69,69,138
MEADOWVIEW ELEM,DeKalb,69,69,138
MEDLOCK ELEM,DeKalb,69,69,138
MEMORIAL SOUTH,DeKalb,69,69,138
METROPOLITAN,DeKalb,69,69,138
MIDVALE ELEM,DeKalb,69,69,138
MIDVALE ROAD,DeKalb,69,69,138
MIDWAY ELEM,DeKalb,69,69,138
MILLER-ELDRIDGE L. MILLER ELEM,DeKalb,69,69,138
MILLER GROVE HIGH,DeKalb,69,69,138
MILLER GROVE MIDDLE,DeKalb,69,69,138
MILLER GROVE ROAD,DeKalb,69,69,138
MONTCLAIR ELEM,DeKalb,69,69,138
MONTGOMERY ELEM,DeKalb,69,69,138
MONTREAL,DeKalb,69,69,138
MT. VERNON EAST,DeKalb,69,69,138
MT. VERNON WEST,DeKalb,69,69,138
NORTH DECATUR,DeKalb,69,69,138
NORTH HAIRSTON,DeKalb,69,69,138
NORTH PEACHTREE,DeKalb,69,69,138
NORTHLAKE,DeKalb,69,69,138
OAK GROVE ELEM,DeKalb,69,69,138
OAK VIEW ELEM,DeKalb,69,69,138
OAKCLIFF ELEM,DeKalb,69,69,138
OAKHURST,DeKalb,69,69,138
PANOLA,DeKalb,69,69,138
PANOLA ROAD,DeKalb,69,69,138
PANOLA WAY ELEM,DeKalb,69,69,138
PEACHCREST ELEM,DeKalb,69,69,138
PEACHTREE MIDDLE,DeKalb,69,69,138
PINE LAKE,DeKalb,69,69,138
PINEY GROVE,DeKalb,69,69,138
PLEASANTDALE ELEM,DeKalb,69,69,138
PONCE DE LEON,DeKalb,69,69,138
PRINCETON ELEM,DeKalb,69,69,138
RAINBOW ELEM,DeKalb,69,69,138
REDAN ELEM,DeKalb,69,69,138
REDAN MIDDLE,DeKalb,69,69,138
REDAN ROAD,DeKalb,69,69,138
REDAN-TROTTI LIBRARY,DeKalb,69,69,138
REHOBOTH,DeKalb,69,69,138
RENFROE MIDDLE,DeKalb,69,69,138
ROCK CHAPEL ELEM,DeKalb,69,69,138
ROCK CHAPEL ROAD,DeKalb,69,69,138
ROCKBRIDGE ELEM,DeKalb,69,69,138
ROCKBRIDGE ROAD,DeKalb,69,69,138
ROWLAND ELEM,DeKalb,69,69,138
ROWLAND ROAD,DeKalb,69,69,138
SAGAMORE HILLS ELEM,DeKalb,69,69,138
SALEM MIDDLE,DeKalb,69,69,138
SCOTT,DeKalb,69,69,138
SHADOW ROCK ELEM,DeKalb,69,69,138
SHAMROCK,DeKalb,69,69,138
SHAW-ROBERT SHAW ELEM,DeKalb,69,69,138
SILVER LAKE,DeKalb,69,69,138
SKYLAND,DeKalb,69,69,138
SMOKE RISE ELEM,DeKalb,69,69,138
SNAPFINGER ELEM,DeKalb,69,69,138
SNAPFINGER ROAD NORTH,DeKalb,69,69,138
SNAPFINGER ROAD SOUTH,DeKalb,69,69,138
SOUTH DESHON,DeKalb,69,69,138
SOUTH HAIRSTON,DeKalb,69,69,138
STEPHENSON HIGH,DeKalb,69,69,138
STEPHENSON MIDDLE,DeKalb,69,69,138
STONE MILL ELEM,DeKalb,69,69,138
STONE MOUNTAIN CHAMPION,DeKalb,69,69,138
STONE MOUNTAIN ELEM,DeKalb,69,69,138
STONE MOUNTAIN LIBRARY,DeKalb,69,69,138
STONE MOUNTAIN MIDDLE,DeKalb,69,69,138
STONEVIEW ELEM,DeKalb,69,69,138
TERRY MILL ELEM,DeKalb,69,69,138
TILLY MILL ROAD,DeKalb,69,69,138
TONEY ELEM,DeKalb,69,69,138
TUCKER,DeKalb,69,69,138
TUCKER LIBRARY,DeKalb,69,69,138
VALLEY BROOK,DeKalb,69,69,138
WADSWORTH ELEM - 05,DeKalb,69,69,138
WADSWORTH ELEM - 04,DeKalb,69,69,138
WARREN TECH,DeKalb,69,69,138
WESLEY CHAPEL LIBRARY,DeKalb,69,69,138
WHITE OAK,DeKalb,69,69,138
WHITEFOORD ELEM,DeKalb,69,69,138
WINNONA PARK ELEM,DeKalb,69,69,138
WINTERS CHAPEL,DeKalb,69,69,138
WOODRIDGE ELEM,DeKalb,69,69,138
WOODROW ROAD,DeKalb,69,69,138
WOODWARD ELEM,DeKalb,69,69,138
WYNBROOKE ELEM,DeKalb,69,69,138
YOUNG ROAD,DeKalb,69,69,138
01A,Fulton,69,69,138
01B,Fulton,69,69,138
01C,Fulton,69,69,138
01D,Fulton,69,69,138
01E,Fulton,69,69,138
01F,Fulton,69,69,138
01G,Fulton,69,69,138
01H,Fulton,69,69,138
01J,Fulton,69,69,138
01P,Fulton,69,69,138
01R,Fulton,69,69,138
01S,Fulton,69,69,138
01T,Fulton,69,69,138
02A,Fulton,69,69,138
02B,Fulton,69,69,138
02C,Fulton,69,69,138
02D,Fulton,69,69,138
02E,Fulton,69,69,138
02F1,Fulton,69,69,138
02F2,Fulton,69,69,138
02G,Fulton,69,69,138
02J,Fulton,69,69,138
02K,Fulton,69,69,138
02L1,Fulton,69,69,138
02L2,Fulton,69,69,138
02S,Fulton,69,69,138
02W,Fulton,69,69,138
03A,Fulton,69,69,138
03B,Fulton,69,69,138
03C,Fulton,69,69,138
03D,Fulton,69,69,138
03E,Fulton,69,69,138
03F,Fulton,69,69,138
03G,Fulton,69,69,138
03H,Fulton,69,69,138
03I,Fulton,69,69,138
03L,Fulton,69,69,138
03M,Fulton,69,69,138
03N,Fulton,69,69,138
03P1A,Fulton,69,69,138
03P2,Fulton,69,69,138
03S,Fulton,69,69,138
03T,Fulton,69,69,138
04A,Fulton,69,69,138
04B,Fulton,69,69,138
04C,Fulton,69,69,138
04D,Fulton,69,69,138
04F,Fulton,69,69,138
04G,Fulton,69,69,138
04I,Fulton,69,69,138
04J,Fulton,69,69,138
04K,Fulton,69,69,138
04L,Fulton,69,69,138
04M,Fulton,69,69,138
04S,Fulton,69,69,138
04T,Fulton,69,69,138
04V,Fulton,69,69,138
04W,Fulton,69,69,138
04X1,Fulton,69,69,138
04X2,Fulton,69,69,138
05A1,Fulton,69,69,138
05A2,Fulton,69,69,138
05B,Fulton,69,69,138
05C,Fulton,69,69,138
05D,Fulton,69,69,138
05F,Fulton,69,69,138
05J,Fulton,69,69,138
05K,Fulton,69,69,138
06B,Fulton,69,69,138
06D,Fulton,69,69,138
06E,Fulton,69,69,138
06F,Fulton,69,69,138
06G,Fulton,69,69,138
06H,Fulton,69,69,138
06I,Fulton,69,69,138
06J,Fulton,69,69,138
06L1,Fulton,69,69,138
06L2,Fulton,69,69,138
06N,Fulton,69,69,138
06Q,Fulton,69,69,138
06R,Fulton,69,69,138
06S,Fulton,69,69,138
07A,Fulton,69,69,138
07B,Fulton,69,69,138
07C,Fulton,69,69,138
07D,Fulton,69,69,138
07E,Fulton,69,69,138
07F,Fulton,69,69,138
07H,Fulton,69,69,138
07J,Fulton,69,69,138
07M,Fulton,69,69,138
07N,Fulton,69,69,138
08A,Fulton,69,69,138
08B,Fulton,69,69,138
08C,Fulton,69,69,138
08D,Fulton,69,69,138
08E,Fulton,69,69,138
08F1,Fulton,69,69,138
08G,Fulton,69,69,138
08H,Fulton,69,69,138
08J,Fulton,69,69,138
08K,Fulton,69,69,138
08L,Fulton,69,69,138
08M,Fulton,69,69,138
08N1,Fulton,69,69,138
08N2,Fulton,69,69,138
08P,Fulton,69,69,138
09A,Fulton,69,69,138
09B,Fulton,69,69,138
09C,Fulton,69,69,138
09D,Fulton,69,69,138
09E,Fulton,69,69,138
09F,Fulton,69,69,138
09G,Fulton,69,69,138
09H,Fulton,69,69,138
09I,Fulton,69,69,138
09K,Fulton,69,69,138
09M,Fulton,69,69,138
10A,Fulton,69,69,138
10B,Fulton,69,69,138
10C,Fulton,69,69,138
10D,Fulton,69,69,138
10E,Fulton,69,69,138
10F,Fulton,69,69,138
10G,Fulton,69,69,138
10H1,Fulton,69,69,138
10H2,Fulton,69,69,138
10I,Fulton,69,69,138
10J,Fulton,69,69,138
10K,Fulton,69,69,138
10M,Fulton,69,69,138
10P,Fulton,69,69,138
10R,Fulton,69,69,138
11B,Fulton,69,69,138
11C,Fulton,69,69,138
11E1,Fulton,69,69,138
11E2,Fulton,69,69,138
11E3,Fulton,69,69,138
11G,Fulton,69,69,138
11H,Fulton,69,69,138
11J,Fulton,69,69,138
11K,Fulton,69,69,138
11M,Fulton,69,69,138
11N,Fulton,69,69,138
11P,Fulton,69,69,138
11R,Fulton,69,69,138
12A,Fulton,69,69,138
12D,Fulton,69,69,138
12E1,Fulton,69,69,138
12F,Fulton,69,69,138
12G,Fulton,69,69,138
12H,Fulton,69,69,138
12I,Fulton,69,69,138
12J,Fulton,69,69,138
12K,Fulton,69,69,138
12L,Fulton,69,69,138
12M,Fulton,69,69,138
12N,Fulton,69,69,138
12S,Fulton,69,69,138
AP01A,Fulton,69,69,138
AP01B,Fulton,69,69,138
AP01C,Fulton,69,69,138
AP01D,Fulton,69,69,138
AP02B,Fulton,69,69,138
AP03,Fulton,69,69,138
AP04A,Fulton,69,69,138
AP04B,Fulton,69,69,138
AP05,Fulton,69,69,138
AP06,Fulton,69,69,138
AP07A,Fulton,69,69,138
AP07B,Fulton,69,69,138
AP09A,Fulton,69,69,138
AP09B,Fulton,69,69,138
AP021,Fulton,69,69,138
AP022,Fulton,69,69,138
AP10,Fulton,69,69,138
AP12A,Fulton,69,69,138
AP12B,Fulton,69,69,138
AP12C,Fulton,69,69,138
AP13,Fulton,69,69,138
AP14,Fulton,69,69,138
CH01,Fulton,69,69,138
CH02,Fulton,69,69,138
CH03,Fulton,69,69,138
CH04A,Fulton,69,69,138
CH05,Fulton,69,69,138
CP01B,Fulton,69,69,138
CP011,Fulton,69,69,138
CP012,Fulton,69,69,138
CP02,Fulton,69,69,138
CP04,Fulton,69,69,138
CP05B,Fulton,69,69,138
CP051,Fulton,69,69,138
CP06A,Fulton,69,69,138
CP07A,Fulton,69,69,138
CP081,Fulton,69,69,138
CP083,Fulton,69,69,138
CP08A,Fulton,69,69,138
EP01,Fulton,69,69,138
EP02,Fulton,69,69,138
EP03,Fulton,69,69,138
EP04-05,Fulton,69,69,138
EP04-13,Fulton,69,69,138
FA01A,Fulton,69,69,138
FA01B,Fulton,69,69,138
HP01,Fulton,69,69,138
JC01,Fulton,69,69,138
JC02,Fulton,69,69,138
JC03A,Fulton,69,69,138
JC03B,Fulton,69,69,138
JC04A,Fulton,69,69,138
JC04B,Fulton,69,69,138
JC05,Fulton,69,69,138
JC06,Fulton,69,69,138
JC07,Fulton,69,69,138
JC08,Fulton,69,69,138
JC09,Fulton,69,69,138
JC10,Fulton,69,69,138
JC11,Fulton,69,69,138
JC12,Fulton,69,69,138
JC13A,Fulton,69,69,138
JC13B,Fulton,69,69,138
JC14,Fulton,69,69,138
JC15,Fulton,69,69,138
JC16,Fulton,69,69,138
JC18A,Fulton,69,69,138
JC19,Fulton,69,69,138
ML011,Fulton,69,69,138
ML012,Fulton,69,69,138
ML01B,Fulton,69,69,138
ML021,Fulton,69,69,138
ML022,Fulton,69,69,138
ML023,Fulton,69,69,138
ML024,Fulton,69,69,138
ML03,Fulton,69,69,138
ML04A,Fulton,69,69,138
ML04B,Fulton,69,69,138
ML04C,Fulton,69,69,138
ML05A,Fulton,69,69,138
ML05B,Fulton,69,69,138
ML05C,Fulton,69,69,138
ML06A,Fulton,69,69,138
ML06B,Fulton,69,69,138
ML071,Fulton,69,69,138
ML072,Fulton,69,69,138
ML07A,Fulton,69,69,138
MP01,Fulton,69,69,138
PA01,Fulton,69,69,138
RW01,Fulton,69,69,138
RW02,Fulton,69,69,138
RW03,Fulton,69,69,138
RW04,Fulton,69,69,138
RW05,Fulton,69,69,138
RW06,Fulton,69,69,138
RW07A,Fulton,69,69,138
RW07B,Fulton,69,69,138
RW08,Fulton,69,69,138
RW09,Fulton,69,69,138
RW10,Fulton,69,69,138
RW11A,Fulton,69,69,138
RW12,Fulton,69,69,138
RW13,Fulton,69,69,138
RW16,Fulton,69,69,138
RW17,Fulton,69,69,138
RW19,Fulton,69,69,138
RW20,Fulton,69,69,138
RW21,Fulton,69,69,138
RW22A,Fulton,69,69,138
SC01B,Fulton,69,69,138
SC02,Fulton,69,69,138
SC04,Fulton,69,69,138
SC05A,Fulton,69,69,138
SC05B,Fulton,69,69,138
SC05D,Fulton,69,69,138
SC07A,Fulton,69,69,138
SC08B,Fulton,69,69,138
SC08C,Fulton,69,69,138
SC08D,Fulton,69,69,138
SC08E,Fulton,69,69,138
SC08F,Fulton,69,69,138
SC08G,Fulton,69,69,138
SC09A,Fulton,69,69,138
SC09B,Fulton,69,69,138
SC10,Fulton,69,69,138
SC11A,Fulton,69,69,138
SC11B,Fulton,69,69,138
SC13A,Fulton,69,69,138
SC13B,Fulton,69,69,138
SC14,Fulton,69,69,138
SC16,Fulton,69,69,138
SC17A,Fulton,69,69,138
SC17C,Fulton,69,69,138
SC18A,Fulton,69,69,138
SC18B,Fulton,69,69,138
SC19A,Fulton,69,69,138
SC19B,Fulton,69,69,138
SC211,Fulton,69,69,138
SC212,Fulton,69,69,138
SC23A,Fulton,69,69,138
SC23B,Fulton,69,69,138
SC27,Fulton,69,69,138
SC29A,Fulton,69,69,138
SC30A,Fulton,69,69,138
SC30B,Fulton,69,69,138
SS01,Fulton,69,69,138
SS02A,Fulton,69,69,138
SS02B,Fulton,69,69,138
SS03,Fulton,69,69,138
SS04,Fulton,69,69,138
SS05,Fulton,69,69,138
SS06,Fulton,69,69,138
SS07A,Fulton,69,69,138
SS07B,Fulton,69,69,138
SS07C,Fulton,69,69,138
SS08A,Fulton,69,69,138
SS08B,Fulton,69,69,138
SS08C,Fulton,69,69,138
SS08D,Fulton,69,69,138
SS09A,Fulton,69,69,138
SS09B,Fulton,69,69,138
SS11A,Fulton,69,69,138
SS11B,Fulton,69,69,138
SS11C,Fulton,69,69,138
SS11D,Fulton,69,69,138
SS12,Fulton,69,69,138
SS13A,Fulton,69,69,138
SS13B,Fulton,69,69,138
SS14,Fulton,69,69,138
SS15A,Fulton,69,69,138
SS15B,Fulton,69,69,138
SS16,Fulton,69,69,138
SS17,Fulton,69,69,138
SS18A,Fulton,69,69,138
SS18B,Fulton,69,69,138
SS19A,Fulton,69,69,138
SS19B,Fulton,69,69,138
SS20,Fulton,69,69,138
SS22,Fulton,69,69,138
SS25,Fulton,69,69,138
SS26,Fulton,69,69,138
SS29A,Fulton,69,69,138
SS31,Fulton,69,69,138
UC01A,Fulton,69,69,138
UC01B,Fulton,69,69,138
UC01E,Fulton,69,69,138
UC02A,Fulton,69,69,138
