,county,dem_votes,precinct,rep_votes,total,prop
1960,JENKINS,335,Jenkins Co Prim/Elem,237,572,0.414335664336
808,DEKALB,969,CHAMBLEE 2,686,1655,0.414501510574
1892,HENRY,1340,LIGHTHOUSE,950,2290,0.414847161572
1717,GWINNETT,918,PINCKNEYVILLE T,651,1569,0.414913957935
1405,FULTON,1737,JC01,1238,2975,0.416134453782
180,BURKE,209,Blakeney,149,358,0.416201117318
1579,GLYNN,964,Northside Church,688,1652,0.416464891041
572,COBB,2095,Marietta 3A,1499,3594,0.417084028937
571,COBB,1491,Marietta 2B,1069,2560,0.417578125
170,BURKE,127,Keysville,92,219,0.420091324201
1142,FAYETTE,983,JEFF DAVIS,713,1696,0.420400943396
2139,MORGAN,1025,Northeast Morgan,744,1769,0.420576596947
260,CHATHAM,214,1-09 Immanuel Bapt Church,156,370,0.421621621622
2416,SPALDING,836,GARY REID,610,1446,0.421853388658
1286,FULTON,1027,07F,751,1778,0.422384701912
2598,WASHINGTON,876,TENNILLE,641,1517,0.422544495715
276,CHATHAM,168,3-01 Old Courthouse,123,291,0.422680412371
2585,WARE,262,200B,192,454,0.422907488987
256,CHATHAM,1235,1-01 First Presbyterian Church,908,2143,0.423705086328
1698,GWINNETT,2112,BAYCREEK C,1558,3670,0.424523160763
1860,HENRY,1849,LOCUST GROVE,1368,3217,0.425240907678
312,CHATHAM,870,6-03 Crusader Comm Ctr,645,1515,0.425742574257
1864,HENRY,2763,LOWES,2051,4814,0.426049023681
1371,FULTON,292,AP09B,217,509,0.426326129666
2438,TALBOT,230,ONEAL,171,401,0.426433915212
1761,GWINNETT,1589,LAWRENCEVILLE L,1183,2772,0.426767676768
2357,RICHMOND,597,804,445,1042,0.427063339731
1765,GWINNETT,1793,BAYCREEK I,1337,3130,0.427156549521
994,DOUGHERTY,968,Sherwood Elem School,723,1691,0.42755765819
1580,GLYNN,757,Abundant Life,566,1323,0.427815570673
1437,FULTON,16,ML05A,12,28,0.428571428571
1051,EARLY,213,Damascus,160,373,0.428954423592
1636,GWINNETT,812,MARTINS C,610,1422,0.428973277075
1297,FULTON,847,08G,637,1484,0.429245283019
1415,FULTON,1001,JC09,755,1756,0.429954441913
2595,WARREN,1313,Warrenton,991,2304,0.430121527778
621,COBB,2161,Smyrna 6A,1635,3796,0.43071654373
186,CALHOUN,274,Leary,212,491,0.431771894094
31,BALDWIN,167,Courthouse,127,294,0.431972789116
257,CHATHAM,734,1-05 JEA Building,559,1293,0.432327919567
588,COBB,1410,Norton Park 01,1074,2484,0.432367149758
527,COBB,928,Elizabeth 04,709,1637,0.433109346365
2515,TROUP,1260,HAMMETT RD,965,2225,0.433707865169
1416,FULTON,757,JC10,581,1338,0.43423019432
956,DEKALB,1134,TUCKER,871,2005,0.434413965087
171,BURKE,152,Midville,117,269,0.434944237918
876,DEKALB,589,LIVSEY ELEM,454,1043,0.435282837967
1361,FULTON,271,AP01D,209,480,0.435416666667
167,BURKE,247,Girard,191,438,0.436073059361
1284,FULTON,1211,07D,937,2148,0.436219739292
2350,RICHMOND,632,707,490,1122,0.436720142602
1287,FULTON,719,07H,558,1277,0.436961628818
938,DEKALB,663,SKYLAND,515,1178,0.437181663837
858,DEKALB,722,HUGH HOWELL,561,1283,0.437256430242
428,CLAY,162,Old Head Start,126,288,0.4375
1504,FULTON,378,SS02A,294,672,0.4375
1623,GWINNETT,1206,GOODWINS A,938,2144,0.4375
417,CLARKE,1071,6C Timothy Road School,837,1908,0.438679245283
1525,FULTON,289,SS13B,226,515,0.438834951456
626,COBB,1147,Sweetwater 01,897,2044,0.438845401174
230,CARROLL,891,UNIVERSITY OF W. GA (714A4),700,1591,0.43997485858
590,COBB,1378,Oakdale 01,1083,2461,0.440065014222
2672,WILKINSON,301,Irwinton,237,538,0.440520446097
316,CHATHAM,1187,6-09 Trinity Lutheran Ch,935,2122,0.440622054665
2602,WASHINGTON,2188,SANDERSVILLE,1732,3920,0.441836734694
2571,WALTON,1223,North Monroe,971,2194,0.44257064722
1359,FULTON,239,AP01B,190,429,0.44289044289
1410,FULTON,88,JC04B,70,158,0.443037974684
1961,JENKINS,340,Court House,271,611,0.443535188216
1699,GWINNETT,1338,CATES L,1072,2410,0.444813278008
328,CHATHAM,1068,7-11 Seventh Day Adv Chr,858,1926,0.445482866044
1763,GWINNETT,1632,BAYCREEK G,1315,2947,0.446216491347
2535,TWIGGS,304,SHADY GROVE/TARVERS,245,549,0.446265938069
1954,JEFFERSON,942,Wrens,760,1702,0.446533490012
285,CHATHAM,552,3-12 Thunderbolt Muni. Complex,447,999,0.447447447447
1449,FULTON,1381,RW03,1122,2503,0.448262085497
1141,FAYETTE,777,OAK RIDGE,635,1412,0.449716713881
1281,FULTON,1989,07A,1633,3622,0.450855880729
1614,GREENE,360,Siloam,296,656,0.451219512195
1687,GWINNETT,1102,CATES J,908,2010,0.451741293532
248,CHARLTON,780,Folkston,644,1424,0.452247191011
2391,SCREVEN,134,Screven Rec Dept,111,245,0.45306122449
2020,LIBERTY,193,Button Gwinnett,160,353,0.453257790368
781,DEKALB,1081,ASHFORD DUNWOODY RD,897,1978,0.453488372093
322,CHATHAM,328,7-05 Woodlawn Bapt Ch,273,601,0.454242928453
1118,FAYETTE,731,HOPEFUL,612,1343,0.455696202532
1299,FULTON,968,08J,811,1779,0.455874086565
939,DEKALB,809,SMOKE RISE ELEM,678,1487,0.455951580363
2365,ROCKDALE,1656,Barksdale,1396,3052,0.457404980341
2189,NEWTON,743,Cedar Shoals,628,1371,0.458059810357
2324,RICHMOND,181,308,153,334,0.458083832335
1119,FAYETTE,1087,MORNING CREEK,919,2006,0.458125623131
798,DEKALB,1164,BROOKHAVEN,988,2152,0.459107806691
2405,SPALDING,974,UGA CAMPUS,830,1804,0.460088691796
2023,LIBERTY,1220,Liberty County,1040,2260,0.46017699115
2528,TURNER,1078,Ashburn,919,1997,0.460190285428
2512,TREUTLEN,716,Soperton,611,1327,0.460437076112
937,DEKALB,1560,SILVER LAKE,1332,2892,0.460580912863
1042,DOUGLAS,1404,LUTHERAN CHURCH - GS,1199,2603,0.460622358817
619,COBB,2065,Smyrna 4A,1765,3830,0.460835509138
997,DOUGHERTY,1185,Westover High School,1019,2204,0.462341197822
1866,HENRY,2052,NORTH HAMPTON,1766,3818,0.462545835516
502,COBB,1460,Baker 01,1257,2717,0.462642620537
1632,GWINNETT,1025,LAWRENCEVILLE A,884,1909,0.463069669984
1913,HOUSTON,1491,TMS,1287,2778,0.463282937365
1658,GWINNETT,1341,PINCKNEYVILLE H,1158,2499,0.463385354142
896,DEKALB,850,MONTGOMERY ELEM,736,1586,0.464060529634
869,DEKALB,782,KITTREDGE ELEM,678,1460,0.464383561644
1771,GWINNETT,647,LAWRENCEVILLE N,562,1209,0.464846980976
1643,GWINNETT,1345,HOG MOUNTAIN A,1172,2517,0.465633690902
2046,LOWNDES,6982,Northside,6085,13067,0.465676895998
511,COBB,1468,Chalker 01,1282,2750,0.466181818182
25,BAKER,105,Hoggard Mill,92,197,0.467005076142
2439,TALBOT,277,VALLEY,243,520,0.467307692308
1117,FAYETTE,560,FLINT,492,1052,0.467680608365
2347,RICHMOND,1319,703,1160,2479,0.467930617184
615,COBB,1372,Sewell Mill 03,1208,2580,0.468217054264
151,BULLOCH,1678,Statesboro,1479,3157,0.468482736775
1511,FULTON,161,SS07B,142,303,0.468646864686
1413,FULTON,1300,JC07,1147,2447,0.46873722926
595,COBB,1277,Oregon 05,1128,2405,0.469022869023
2387,SCREVEN,366,Jenk Hill Fire Sta,324,690,0.469565217391
1304,FULTON,393,08N2,349,742,0.470350404313
1283,FULTON,1072,07C,952,2024,0.470355731225
1624,GWINNETT,1462,DULUTH A,1301,2763,0.47086500181
1691,GWINNETT,664,PINCKNEYVILLE P,591,1255,0.470916334661
1506,FULTON,464,SS03,414,878,0.4715261959
415,CLARKE,947,6A Cleveland Rd School,845,1792,0.471540178571
674,COLUMBIA,599,Grovetown Methodist Church,536,1135,0.472246696035
1030,DOUGLAS,819,DEER LICK,733,1552,0.472293814433
1411,FULTON,705,JC05,634,1339,0.473487677371
1674,GWINNETT,691,DULUTH C,622,1313,0.473724295506
1886,HENRY,1693,PATES CREEK,1527,3220,0.474223602484
134,BROOKS,346,Dixie,313,659,0.474962063733
1406,FULTON,668,JC02,606,1274,0.475667189953
758,CRISP,2581,Cordele,2342,4923,0.475726183222
2676,WILKINSON,628,Ramah,570,1198,0.475792988314
1022,DOUGLAS,554,WINSTON,503,1057,0.475875118259
566,COBB,1102,McEachern 01,1002,2104,0.476235741445
677,COLUMBIA,701,Warren Baptist Church - Grovetown,638,1339,0.476474981329
1540,FULTON,349,SS31,318,667,0.47676161919
989,DOOLY,232,BYROMVILLE,212,444,0.477477477477
2373,ROCKDALE,1350,Lorraine,1239,2589,0.478563151796
561,COBB,903,Mableton 03,829,1732,0.478637413395
181,BUTTS,1225,BUTTS CO COMM CENTER,1130,2355,0.47983014862
2096,MERIWETHER,607,GREENVILLE,561,1168,0.480308219178
988,DOOLY,172,LILLY,159,331,0.480362537764
176,BURKE,138,St. Clair,128,266,0.481203007519
1667,GWINNETT,593,GARNERS C,551,1144,0.481643356643
1445,FULTON,157,MP01,146,303,0.481848184818
1613,GREENE,386,Union Point,359,745,0.481879194631
24,BAKER,133,Elmodel,124,257,0.482490272374
1716,GWINNETT,903,GOODWINS F,843,1746,0.482817869416
1813,HANCOCK,292,Devereux Fire Station,273,565,0.483185840708
1897,HENRY,1223,MCDONOUGH CENTRAL,1144,2367,0.483312209548
778,DECATUR,916,Bridge-Fairgrounds,857,1773,0.483361534123
1957,JEFFERSON,173,Bartow,162,335,0.483582089552
1373,FULTON,663,AP022,622,1285,0.484046692607
2097,MERIWETHER,365,LONE OAK,343,708,0.484463276836
177,BURKE,101,Vidette,95,196,0.484693877551
1653,GWINNETT,190,035 Cates D - 04,179,369,0.485094850949
1876,HENRY,988,STAGECOACH,933,1921,0.485684539302
529,COBB,733,East Piedmont 01,694,1427,0.486334968465
2186,NEWTON,803,Covington Mills,762,1565,0.486900958466
2426,STEWART,79,Omaha,75,154,0.487012987013
1523,FULTON,800,SS12,763,1563,0.488163787588
1620,GWINNETT,1363,DACULA,1300,2663,0.488171235449
1012,DOUGHERTY,810,Putney 1st Bapt Church,773,1583,0.488313329122
966,DEKALB,509,WINTERS CHAPEL,486,995,0.488442211055
2038,LONG,245,South Ludowici,234,479,0.488517745303
1512,FULTON,187,SS07C,179,366,0.489071038251
990,DOOLY,516,UNADILLA,494,1010,0.489108910891
1524,FULTON,467,SS13A,449,916,0.490174672489
106,BIBB,1166,HAZZARD 2,1123,2289,0.490607252075
1115,FAYETTE,634,FAYETTEVILLE EAST,611,1245,0.490763052209
1046,EARLY,138,Arlington,133,271,0.490774907749
197,CAMDEN,648,North Kingsland,625,1273,0.490966221524
2296,RICHMOND,262,101,253,515,0.491262135922
746,COWETA,2096,JEFFERSON PARKWAY,2025,4121,0.491385586023
2116,MITCHELL,907,Pelham,879,1786,0.492161254199
1452,FULTON,889,RW06,864,1753,0.4928693668
888,DEKALB,724,MIDVALE ELEM,704,1428,0.49299719888
676,COLUMBIA,713,Grovetown Middle School,695,1408,0.493607954545
88,BEN HILL,1114,East,1088,2202,0.494096276113
1043,DOUGLAS,822,FIRST BAPTIST CHURCH,803,1625,0.494153846154
1027,DOUGLAS,1085,TURNER,1060,2145,0.494172494172
1148,FAYETTE,1028,SPRING HILL,1005,2033,0.494343334973
1746,GWINNETT,812,GOODWINS H,794,1606,0.494396014944
1639,GWINNETT,622,PINCKNEYVILLE C,611,1233,0.495539334955
1409,FULTON,1267,JC04A,1245,2512,0.495621019108
991,DOOLY,839,VIENNA,828,1667,0.496700659868
2022,LIBERTY,471,Hinesville,465,936,0.496794871795
1739,GWINNETT,1026,PINCKNEYVILLE X,1013,2039,0.496812162825
2280,PUTNAM,1003,104,991,1994,0.496990972919
579,COBB,924,Marietta 6B,913,1837,0.497005988024
2308,RICHMOND,100,115,99,199,0.497487437186
1425,FULTON,1186,JC19,1177,2363,0.498095641134
1458,FULTON,792,RW11A,786,1578,0.498098859316
175,BURKE,281,Telfair,279,560,0.498214285714
2200,NEWTON,1365,Buck Creek,1357,2722,0.498530492285
1514,FULTON,196,SS08B,195,391,0.498721227621
2101,MERIWETHER,420,WOODBURY,418,838,0.498806682578
2382,ROCKDALE,1015,Stanton,1012,2027,0.499259990133
1298,FULTON,771,08H,771,1542,0.5
1729,GWINNETT,778,DULUTH H,779,1557,0.500321130379
1077,ELBERT,1144,Elberton,1146,2290,0.500436681223
2526,TROUP,456,HIGHLAND,457,913,0.500547645126
317,CHATHAM,1187,6-10 Georgetown Elem,1190,2377,0.500631047539
1701,GWINNETT,1157,GOODWINS D,1161,2318,0.50086281277
115,BIBB,457,HOWARD 5,459,916,0.501091703057
442,CLAYTON,836,JONESBORO 6,840,1676,0.501193317422
2006,LEE,162,Chokee,163,325,0.501538461538
1686,GWINNETT,1102,CATES I,1109,2211,0.50158299412
2198,NEWTON,138,Rocky Plains-4,140,278,0.503597122302
574,COBB,614,Marietta 4B,623,1237,0.503637833468
326,CHATHAM,614,7-09 Southwest Baptist Ch,625,1239,0.504439063761
1715,GWINNETT,1468,GOODWINS E,1500,2968,0.50539083558
1943,JEFF DAVIS,366,Hazelhurst,374,740,0.505405405405
154,BULLOCH,1462,Church,1495,2957,0.505579979709
1615,GREENE,122,White Plains,125,247,0.506072874494
2000,LAURENS,120,Harvard,123,243,0.506172839506
1907,HOUSTON,1863,HHPC,1912,3775,0.506490066225
2436,SUMTER,339,Plains,348,687,0.506550218341
1612,GREENE,184,Woodville,189,373,0.506702412869
1407,FULTON,179,JC03A,184,363,0.506887052342
1291,FULTON,864,08A,889,1753,0.5071306332
1726,GWINNETT,869,BAYCREEK E,895,1764,0.507369614512
5,APPLING,98,3B,101,199,0.507537688442
1370,FULTON,1232,AP09A,1272,2504,0.507987220447
782,DEKALB,782,ASHFORD PARK ELEM,809,1591,0.508485229415
1508,FULTON,606,SS05,627,1233,0.508515815085
635,COBB,1361,Wade Green 02,1410,2771,0.508841573439
899,DEKALB,761,MT. VERNON WEST,792,1553,0.50998068255
1696,GWINNETT,1109,BAYCREEK K,1156,2265,0.510375275938
288,CHATHAM,253,3-15 Eli Whitney Complex,264,517,0.510638297872
1021,DOUGLAS,1692,MIRROR LAKE ELEMENTA,1768,3460,0.51098265896
547,COBB,1708,Kennesaw 5A,1788,3496,0.511441647597
2312,RICHMOND,430,204,452,882,0.512471655329
2302,RICHMOND,532,107,560,1092,0.512820512821
543,COBB,652,Kennesaw 1A,688,1340,0.513432835821
2352,RICHMOND,160,709,169,329,0.51367781155
1877,HENRY,1243,COTTON INDIAN,1315,2558,0.514073494918
1071,EFFINGHAM,195,4B-1,207,402,0.514925373134
1176,FORSYTH,1744,02 Brandywine,1852,3596,0.515016685206
1792,HALL,1133,11-Tadmore,1205,2338,0.515397775877
1621,GWINNETT,435,SUWANEE A,464,899,0.516129032258
1378,FULTON,799,AP13,856,1655,0.517220543807
1168,FLOYD,843,NORTH ROME,905,1748,0.517734553776
329,CHATHAM,1515,7-12 Pooler Church,1630,3145,0.518282988871
1530,FULTON,1012,SS17,1096,2108,0.519924098672
673,COLUMBIA,812,Grovetown City Hall,881,1693,0.520378027171
2480,THOMAS,246,Meigs,267,513,0.520467836257
711,COOK,455,Cecil,494,949,0.520547945205
518,COBB,973,Dowell 01,1059,2032,0.521161417323
2471,THOMAS,495,Boston,539,1034,0.521276595745
624,COBB,1355,Sope Creek 02,1486,2841,0.523055262232
2110,MITCHELL,990,Camilla South,1086,2076,0.523121387283
1450,FULTON,581,RW04,639,1220,0.523770491803
1414,FULTON,830,JC08,913,1743,0.52380952381
314,CHATHAM,360,6-06 The Light,398,758,0.525065963061
1995,LAURENS,294,Burgamy,326,620,0.525806451613
1531,FULTON,209,SS18A,232,441,0.526077097506
1760,GWINNETT,1053,SUWANEE F,1171,2224,0.526528776978
1649,GWINNETT,833,BERKSHIRE D,927,1760,0.526704545455
2390,SCREVEN,265,Hiltonia,295,560,0.526785714286
2674,WILKINSON,228,Lord,254,482,0.526970954357
1804,HALL,948,23-Gainesville III,1059,2007,0.527653213752
1736,GWINNETT,465,GARNERS F,520,985,0.527918781726
2128,MONROE,209,KELSEYS,234,443,0.528216704289
2466,TERRELL,258,Bronwood,290,548,0.529197080292
1773,GWINNETT,980,SUWANEE G,1103,2083,0.529524723956
38,BALDWIN,539,West Baldwin,608,1147,0.530078465562
1439,FULTON,1169,ML05C,1320,2489,0.530333467256
1368,FULTON,902,AP07A,1019,1921,0.53045288912
33,BALDWIN,669,North Milledgeville,756,1425,0.530526315789
1372,FULTON,830,AP021,938,1768,0.530542986425
2174,MUSCOGEE,816,SALVATION ARMY,923,1739,0.530764807361
747,CRAWFORD,135,1A,153,288,0.53125
1993,LAURENS,290,Buckeye,329,619,0.531502423263
2428,SUMTER,199,Thomson,226,425,0.531764705882
125,BIBB,825,VINEVILLE 6,937,1762,0.531782065834
1383,FULTON,175,CH04A,199,374,0.532085561497
1122,FAYETTE,414,SANDY CREEK-13,472,886,0.532731376975
1423,FULTON,761,JC16,868,1629,0.5328422345
507,COBB,767,Blackwell 01,875,1642,0.532886723508
1167,FLOYD,1019,EAST ROME,1164,2183,0.533211177279
1819,HANCOCK,77,Warren Chapel,88,165,0.533333333333
597,COBB,959,Powers Ferry 01,1098,2057,0.533787068546
562,COBB,468,Mableton 04,536,1004,0.533864541833
1670,GWINNETT,691,BERKSHIRE G,792,1483,0.534052596089
2633,WHITFIELD,471,AN,540,1011,0.53412462908
1685,GWINNETT,1321,PUCKETTS E,1516,2837,0.53436728939
1509,FULTON,423,SS06,486,909,0.534653465347
1865,HENRY,1392,SOUTH HAMPTON,1600,2992,0.534759358289
2601,WASHINGTON,265,DAVISBORO,305,570,0.535087719298
2650,WHITFIELD,493,1A,568,1061,0.53534401508
546,COBB,1002,Kennesaw 4A,1155,2157,0.535465924896
27,BAKER,306,Newton,353,659,0.535660091047
2615,WAYNE,279,Pine Street,322,601,0.535773710483
995,DOUGHERTY,596,Covenant Pres Church,688,1284,0.535825545171
2599,WASHINGTON,174,OCONEE,201,375,0.536
2107,MITCHELL,293,Baconton,339,632,0.536392405063
830,DEKALB,662,DUNWOODY HIGH,766,1428,0.536414565826
2279,PUTNAM,856,101,991,1847,0.536545749865
1379,FULTON,873,AP14,1014,1887,0.537360890302
2169,MUSCOGEE,1382,GENTIAN/REESE @LDS,1607,2989,0.537638006022
2191,NEWTON,1619,Downs,1883,3502,0.537692747002
1654,GWINNETT,867,CATES E,1009,1876,0.537846481876
1448,FULTON,1170,RW02,1363,2533,0.538097118042
165,BURKE,120,Alexander,140,260,0.538461538462
776,DECATUR,583,West Bainbridge,683,1266,0.539494470774
1092,EMANUEL,145,Stillmore,170,315,0.539682539683
1666,GWINNETT,865,DULUTH B,1016,1881,0.540138224349
1518,FULTON,1007,SS09B,1188,2195,0.541230068337
1887,HENRY,1201,OAKLAND,1421,2622,0.541952707857
1750,GWINNETT,882,LAWRENCEVILLE K,1049,1931,0.543241843604
1650,GWINNETT,596,BERKSHIRE E,710,1306,0.543644716692
222,CARROLL,1400,VILLA RICA CITY (642),1668,3068,0.543676662321
2340,RICHMOND,881,603,1050,1931,0.543759709995
2004,LAURENS,780,Smith,932,1712,0.544392523364
1460,FULTON,1009,RW13,1206,2215,0.544469525959
750,CRAWFORD,407,2 - COUNTY,487,894,0.544742729306
1464,FULTON,831,RW20,995,1826,0.544906900329
1365,FULTON,131,AP04B,157,288,0.545138888889
1952,JEFFERSON,104,Stapleton Crossroads,125,229,0.545851528384
1362,FULTON,64,AP02B,77,141,0.54609929078
993,DOUGHERTY,635,Palmyra Rd Meth Church,765,1400,0.546428571429
996,DOUGHERTY,1215,Greenbriar Church,1467,2682,0.546979865772
2358,RICHMOND,769,804H,929,1698,0.547114252061
1295,FULTON,748,08E,904,1652,0.547215496368
2171,MUSCOGEE,411,ST PAUL U.M.C.-03,498,909,0.547854785479
954,DEKALB,482,TILLY MILL ROAD,587,1069,0.54911131899
1136,FAYETTE,488,BANKS,598,1086,0.550644567219
1767,GWINNETT,728,GOODWINS I,894,1622,0.551171393342
2460,TELFAIR,283,Lumber-City,348,631,0.551505546751
1709,GWINNETT,1254,BAYCREEK D,1543,2797,0.551662495531
1517,FULTON,857,SS09A,1056,1913,0.55201254574
2284,QUITMAN,426,Georgetown,525,951,0.552050473186
2033,LINCOLN,288,Tabernacle,355,643,0.552099533437
2055,MACON,397,Ideal,490,887,0.552423900789
611,COBB,849,Sandy Plains 01,1048,1897,0.552451238798
584,COBB,956,Mount Bethel 03,1181,2137,0.552643893308
1724,GWINNETT,1213,SUWANEE C,1502,2715,0.553222836096
2184,NEWTON,989,Alcovy-4,1228,2217,0.553901668922
1756,GWINNETT,1211,DULUTH I,1504,2715,0.553959484346
1652,GWINNETT,735,CATES D,913,1648,0.554004854369
2461,TELFAIR,612,McRae,761,1373,0.554260742899
528,COBB,860,Elizabeth 05,1071,1931,0.554634904195
734,COWETA,259,TURKEY CREEK,323,582,0.554982817869
1718,GWINNETT,1075,SUWANEE B,1349,2424,0.556518151815
345,CHATTAHOOCHEE,593,Chattahoochee Acvitity Center,746,1339,0.5571321882
1849,HART,306,Cokesbury,385,691,0.557163531114
634,COBB,1008,Vinings 04,1270,2278,0.557506584723
1360,FULTON,616,AP01C,777,1393,0.557788944724
493,COBB,1363,Acworth 1A,1721,3084,0.55804150454
1766,GWINNETT,464,BERKSHIRE Q,587,1051,0.558515699334
1529,FULTON,611,SS16,774,1385,0.558844765343
670,COLUMBIA,204,Harlem Baptist Church-12,259,463,0.55939524838
2036,LONG,305,Beards Creek,388,693,0.559884559885
1174,FLOYD,670,TOWN ROME,855,1525,0.560655737705
1714,GWINNETT,759,DULUTH G,969,1728,0.560763888889
2469,TERRELL,83,Herod-Dover,106,189,0.560846560847
1725,GWINNETT,381,CATES O,487,868,0.561059907834
1710,GWINNETT,800,BERKSHIRE J,1027,1827,0.562123700055
1116,FAYETTE,489,FAYETTEVILLE WEST,628,1117,0.562220232766
1532,FULTON,73,SS18B,94,167,0.562874251497
1292,FULTON,922,08B,1190,2112,0.563446969697
1905,HOUSTON,1487,HCTC,1924,3411,0.564057461155
2597,WASHINGTON,217,WARTHEN,281,498,0.564257028112
1461,FULTON,536,RW16,695,1231,0.564581640942
534,COBB,982,Fullers Park 01,1274,2256,0.564716312057
1302,FULTON,511,08M,663,1174,0.564735945486
1510,FULTON,225,SS07A,292,517,0.564796905222
35,BALDWIN,1011,East Baldwin,1313,2324,0.564974182444
2384,SCREVEN,318,Sylvania,413,731,0.564979480164
1679,GWINNETT,630,LAWRENCEVILLE E,819,1449,0.565217391304
1033,DOUGLAS,860,BEULAH,1119,1979,0.565437089439
614,COBB,976,Sewell Mill 01,1270,2246,0.565449688335
2227,PAULDING,1944,P B RITCH MIDD SCH,2531,4475,0.565586592179
1369,FULTON,430,AP07B,560,990,0.565656565657
1965,JOHNSON,872,Wrightsville,1136,2008,0.565737051793
629,COBB,767,Timber Ridge 01,1000,1767,0.565930956423
172,BURKE,72,Munnerlyn,94,166,0.566265060241
2008,LEE,268,Smithville,350,618,0.566343042071
200,CAMDEN,343,North St Marys,448,791,0.566371681416
1358,FULTON,533,AP01A,697,1230,0.566666666667
1727,GWINNETT,459,BERKSHIRE M,602,1061,0.567389255419
114,BIBB,446,HOWARD 4,585,1031,0.56741028128
498,COBB,792,Bells Ferry 02,1041,1833,0.567921440262
1377,FULTON,343,AP12C,451,794,0.568010075567
496,COBB,681,Addison 01,898,1579,0.568714376187
64,BARROW,577,10 Leisure Services Center,761,1338,0.568759342302
586,COBB,593,North Cobb 01,785,1378,0.569666182874
2159,MUSCOGEE,760,COLUMBUS TECH,1009,1769,0.570378745054
1703,GWINNETT,1070,LAWRENCEVILLE H,1421,2491,0.570453633079
179,BURKE,843,South Waynesboro,1120,1963,0.570555272542
500,COBB,667,Big Shanty 01,887,1554,0.570785070785
1282,FULTON,822,07B,1096,1918,0.571428571429
831,DEKALB,779,DUNWOODY LIBRARY,1039,1818,0.571507150715
2374,ROCKDALE,776,Magnet,1036,1812,0.57174392936
544,COBB,936,Kennesaw 2A,1250,2186,0.571820677036
1001,DOUGHERTY,390,Second Mt. Zion,521,911,0.571899012075
2098,MERIWETHER,639,LUTHERSVILLE,854,1493,0.572002679169
2619,WEBSTER,471,Preston 1,630,1101,0.572207084469
2362,RICHMOND,586,808,784,1370,0.572262773723
2230,PAULDING,1700,HIRAM HIGH SCHOOL,2275,3975,0.572327044025
1138,FAYETTE,784,WILLOW POND,1050,1834,0.572519083969
1622,GWINNETT,754,BAYCREEK A,1010,1764,0.572562358277
2550,UPSON,1975,TOWN,2651,4626,0.573065283182
1573,GLYNN,200,Jekyll Island,269,469,0.573560767591
2434,SUMTER,501,Airport,674,1175,0.573617021277
510,COBB,1117,Cheatham Hill 03,1507,2624,0.57431402439
323,CHATHAM,661,7-06 Pooler City Hall,894,1555,0.574919614148
2136,MONTGOMERY,368,Mount Vernon,498,866,0.575057736721
784,DEKALB,784,AUSTIN,1064,1848,0.575757575758
2432,SUMTER,774,GSW Conf Center,1051,1825,0.575890410959
2027,LIBERTY,495,Gum Branch,673,1168,0.576198630137
231,CARROLL,538,COUNTY ADMIN BLDG (714A5),732,1270,0.576377952756
2180,MUSCOGEE,1830,PSALMOND/MATHEWS,2497,4327,0.577074185348
898,DEKALB,765,MT. VERNON EAST,1048,1813,0.57804743519
259,CHATHAM,437,1-08 Grace United Meth Chur,599,1036,0.578185328185
2443,TALBOT,121,BOX SPRINGS,166,287,0.578397212544
1381,FULTON,129,CH02,177,306,0.578431372549
311,CHATHAM,666,6-02 Windsor Forest Baptist,914,1580,0.578481012658
1143,FAYETTE,883,MURPHY,1215,2098,0.579122974261
1599,GRADY,614,Cairo 5th District,845,1459,0.579163810829
1618,GWINNETT,1465,HARBINS A,2020,3485,0.57962697274
1163,FLOYD,1003,MT ALTO NORTH,1383,2386,0.579631181894
2657,WILCOX,112,Abbeville North 2,155,267,0.580524344569
998,DOUGHERTY,614,Merry Acres Middle,851,1465,0.580887372014
1522,FULTON,90,SS11D,125,215,0.581395348837
1417,FULTON,836,JC11,1162,1998,0.581581581582
516,COBB,823,Dickerson 01,1145,1968,0.581808943089
1537,FULTON,406,SS25,565,971,0.581874356334
610,COBB,1041,Roswell 02,1450,2491,0.582095543958
494,COBB,1152,Acworth 1B,1607,2759,0.582457412106
2173,MUSCOGEE,1833,ST. ANDREWS/MIDLAND,2561,4394,0.582840236686
228,CARROLL,370,EAST CARROLLTON REC (714A2),517,887,0.582863585118
2045,LOWNDES,1943,Trinity-008,2715,4658,0.58286818377
1424,FULTON,749,JC18,1047,1796,0.582962138085
109,BIBB,709,HAZZARD 5,999,1708,0.584894613583
258,CHATHAM,562,1-06 Central Chur of Christ,793,1355,0.585239852399
173,BURKE,238,Sardis,337,575,0.586086956522
2370,ROCKDALE,623,Honey Creek,883,1506,0.586321381142
733,COWETA,571,SMOKEY ROAD,811,1382,0.586830680174
1366,FULTON,1184,AP05,1685,2869,0.587312652492
583,COBB,1172,Mount Bethel 01,1668,2840,0.587323943662
1412,FULTON,647,JC06,922,1569,0.587635436584
113,BIBB,2169,HOWARD 3,3096,5265,0.588034188034
1783,HALL,496,02-Chicopee,708,1204,0.58803986711
1130,FAYETTE,899,KEDRON,1284,2183,0.588181401741
2285,QUITMAN,35,Morris,50,85,0.588235294118
1919,IRWIN,671,Ocilla,959,1630,0.588343558282
2457,TAYLOR,543,#6 REYNOLDS,777,1320,0.588636363636
2044,LOWNDES,381,Trinity-001,547,928,0.589439655172
