Precinct,County,rep_votes,dem_votes,total,rep_p,dem_p
MOUNT BETHEL 01,Cobb,69,69,138,0,0
MOUNT BETHEL 03,Cobb,69,69,138,0,0
MOUNT BETHEL 04,Cobb,69,69,138,0,0
NORTH COBB 01,Cobb,69,69,138,0,0
NICKAJACK 01,Cobb,69,69,138,0,0
NORTON PARK 01,Cobb,69,69,138,0,0
NICHOLSON 01,Cobb,69,69,138,0,0
OAKDALE 01,Cobb,69,69,138,0,0
OREGON 01,Cobb,69,69,138,0,0
OREGON 02,Cobb,69,69,138,0,0
OREGON 03,Cobb,69,69,138,0,0
OREGON 04,Cobb,69,69,138,0,0
OREGON 05,Cobb,69,69,138,0,0
PEBBLEBROOK 01,Cobb,69,69,138,0,0
POWERS FERRY 01,Cobb,69,69,138,0,0
PINE MOUNTAIN 01,Cobb,69,69,138,0,0
PINE MOUNTAIN 02,Cobb,69,69,138,0,0
POST OAK 01,Cobb,69,69,138,0,0
POPE 01,Cobb,69,69,138,0,0
PALMER 01,Cobb,69,69,138,0,0
POWDER SPRINGS 1A,Cobb,69,69,138,0,0
POWDER SPRINGS 2A,Cobb,69,69,138,0,0
POWDER SPRINGS 3A,Cobb,69,69,138,0,0
PITNER 01,Cobb,69,69,138,0,0
ROCKY MOUNTAIN 01,Cobb,69,69,138,0,0
RIVERSIDE 01,Cobb,69,69,138,0,0
ROSWELL 01,Cobb,69,69,138,0,0
ROSWELL 02,Cobb,69,69,138,0,0
SANDY PLAINS 01,Cobb,69,69,138,0,0
SHALLOWFORD FALL 01,Cobb,69,69,138,0,0
SIMPSON 01,Cobb,69,69,138,0,0
SEWELL MILL 01,Cobb,69,69,138,0,0
SEWELL MILL 03,Cobb,69,69,138,0,0
SMYRNA 1A,Cobb,69,69,138,0,0
SMYRNA 2A,Cobb,69,69,138,0,0
SMYRNA 3A,Cobb,69,69,138,0,0
SMYRNA 4A,Cobb,69,69,138,0,0
SMYRNA 5A,Cobb,69,69,138,0,0
SMYRNA 6A,Cobb,69,69,138,0,0
SMYRNA 7A,Cobb,69,69,138,0,0
SOPE CREEK 01,Cobb,69,69,138,0,0
SOPE CREEK 02,Cobb,69,69,138,0,0
SOPE CREEK 03,Cobb,69,69,138,0,0
SWEETWATER 01,Cobb,69,69,138,0,0
SWEETWATER 02,Cobb,69,69,138,0,0
TERRELL MILL 01,Cobb,69,69,138,0,0
TIMBER RIDGE 01,Cobb,69,69,138,0,0
VAUGHN 01,Cobb,69,69,138,0,0
VININGS 01,Cobb,69,69,138,0,0
VININGS 02,Cobb,69,69,138,0,0
VININGS 03,Cobb,69,69,138,0,0
VININGS 04,Cobb,69,69,138,0,0
WADE GREEN 02,Cobb,69,69,138,0,0
WILEO 01,Cobb,69,69,138,0,0
ALLGOOD ELEM,DeKalb,69,69,138,0,0
ASHFORD DUNWOODY RD,DeKalb,69,69,138,0,0
ASHFORD PARK ELEM,DeKalb,69,69,138,0,0
ASHFORD PARKSIDE,DeKalb,69,69,138,0,0
AUSTIN,DeKalb,69,69,138,0,0
AUSTIN DRIVE,DeKalb,69,69,138,0,0
AVONDALE,DeKalb,69,69,138,0,0
AVONDALE HIGH,DeKalb,69,69,138,0,0
AVONDALE HIGH,DeKalb,69,69,138,0,0
BETHUNE MIDDLE,DeKalb,69,69,138,0,0
BOULDERCREST RD,DeKalb,69,69,138,0,0
BOULEVARD,DeKalb,69,69,138,0,0
BRIAR VISTA ELEM,DeKalb,69,69,138,0,0
BRIARCLIFF,DeKalb,69,69,138,0,0
BRIARLAKE ELEM,DeKalb,69,69,138,0,0
BRIARWOOD,DeKalb,69,69,138,0,0
BROCKETT,DeKalb,69,69,138,0,0
BROCKETT ELEM,DeKalb,69,69,138,0,0
BROOKHAVEN,DeKalb,69,69,138,0,0
BROWNS MILL ELEM,DeKalb,69,69,138,0,0
BURGESS ELEM,DeKalb,69,69,138,0,0
CANBY LANE ELEM,DeKalb,69,69,138,0,0
CANDLER,DeKalb,69,69,138,0,0
CANDLER-MURPHEY CAND,DeKalb,69,69,138,0,0
CEDAR GROVE ELEM,DeKalb,69,69,138,0,0
CEDAR GROVE MIDDLE,DeKalb,69,69,138,0,0
CEDAR GROVE SOUTH,DeKalb,69,69,138,0,0
CHAMBLEE,DeKalb,69,69,138,0,0
CHAMBLEE,DeKalb,69,69,138,0,0
CHAPEL HILL ELEM,DeKalb,69,69,138,0,0
CHESNUT ELEM,DeKalb,69,69,138,0,0
CLAIREMONT EAST,DeKalb,69,69,138,0,0
CLAIREMONT WEST,DeKalb,69,69,138,0,0
CLAIRMONT ROAD,DeKalb,69,69,138,0,0
CLARKSTON,DeKalb,69,69,138,0,0
CLIFTON ELEM,DeKalb,69,69,138,0,0
COLUMBIA DRIVE,DeKalb,69,69,138,0,0
COLUMBIA ELEM,DeKalb,69,69,138,0,0
COLUMBIA MIDDLE,DeKalb,69,69,138,0,0
CORALWOOD,DeKalb,69,69,138,0,0
COVINGTON,DeKalb,69,69,138,0,0
COVINGTON HWY LIBRAR,DeKalb,69,69,138,0,0
CROSS KEYS HIGH,DeKalb,69,69,138,0,0
CROSSROADS,DeKalb,69,69,138,0,0
DORAVILLE NORTH,DeKalb,69,69,138,0,0
DORAVILLE SOUTH,DeKalb,69,69,138,0,0
DRESDEN ELEM,DeKalb,69,69,138,0,0
DRUID HILLS HIGH,DeKalb,69,69,138,0,0
DUNAIRE ELEM,DeKalb,69,69,138,0,0
DUNWOODY,DeKalb,69,69,138,0,0
DUNWOODY HIGH,DeKalb,69,69,138,0,0
DUNWOODY LIBRARY,DeKalb,69,69,138,0,0
EAST LAKE ELEM,DeKalb,69,69,138,0,0
EMBRY HILLS,DeKalb,69,69,138,0,0
EMORY ROAD,DeKalb,69,69,138,0,0
EMORY SOUTH,DeKalb,69,69,138,0,0
EPWORTH,DeKalb,69,69,138,0,0
EVANSDALE ELEM,DeKalb,69,69,138,0,0
FAIRINGTON ELEM,DeKalb,69,69,138,0,0
FERNBANK ELEM,DeKalb,69,69,138,0,0
FLAKES MILL FIRE STA,DeKalb,69,69,138,0,0
FLAT ROCK ELEM,DeKalb,69,69,138,0,0
FLAT SHOALS,DeKalb,69,69,138,0,0
FLAT SHOALS ELEM,DeKalb,69,69,138,0,0
FLAT SHOALS LIBRARY,DeKalb,69,69,138,0,0
FLAT SHOALS PARKWAY,DeKalb,69,69,138,0,0
FREEDOM MIDDLE,DeKalb,69,69,138,0,0
GEORGETOWN SQUARE,DeKalb,69,69,138,0,0
GLENHAVEN,DeKalb,69,69,138,0,0
GLENNWOOD - 04,DeKalb,69,69,138,0,0
GLENNWOOD - 05,DeKalb,69,69,138,0,0
GLENWOOD ROAD,DeKalb,69,69,138,0,0
GRESHAM ROAD,DeKalb,69,69,138,0,0
HAMBRICK ELEM,DeKalb,69,69,138,0,0
HARRIS-MARGARET HARR,DeKalb,69,69,138,0,0
HARRIS-NARVIE J. HAR,DeKalb,69,69,138,0,0
HAWTHORNE ELEM,DeKalb,69,69,138,0,0
HENDERSON MILL ELEM,DeKalb,69,69,138,0,0
HUGH HOWELL,DeKalb,69,69,138,0,0
HUNTLEY HILLS ELEM,DeKalb,69,69,138,0,0
IDLEWOOD ELEM,DeKalb,69,69,138,0,0
INDIAN CREEK ELEM,DeKalb,69,69,138,0,0
JOHNSON ESTATES,DeKalb,69,69,138,0,0
JOLLY ELEM,DeKalb,69,69,138,0,0
KELLEY CHAPEL ROAD,DeKalb,69,69,138,0,0
KELLEY LAKE ELEM,DeKalb,69,69,138,0,0
KING-ML KING JR HIGH,DeKalb,69,69,138,0,0
KINGSLEY ELEM,DeKalb,69,69,138,0,0
KNOLLWOOD ELEM,DeKalb,69,69,138,0,0
KITTREDGE ELEM,DeKalb,69,69,138,0,0
LAKESIDE HIGH,DeKalb,69,69,138,0,0
LAVISTA,DeKalb,69,69,138,0,0
LAVISTA ROAD,DeKalb,69,69,138,0,0
LIN-MARY LIN ELEM,DeKalb,69,69,138,0,0
LITHONIA,DeKalb,69,69,138,0,0
LITHONIA HIGH,DeKalb,69,69,138,0,0
LIVSEY ELEM,DeKalb,69,69,138,0,0
MARBUT ELEM,DeKalb,69,69,138,0,0
MATHIS-BOB MATHIS EL,DeKalb,69,69,138,0,0
MCLENDON,DeKalb,69,69,138,0,0
MCNAIR ACADEMY,DeKalb,69,69,138,0,0
MCNAIR HIGH,DeKalb,69,69,138,0,0
MCNAIR MIDDLE,DeKalb,69,69,138,0,0
MCWILLIAMS,DeKalb,69,69,138,0,0
MEADOWVIEW ELEM,DeKalb,69,69,138,0,0
MEDLOCK ELEM,DeKalb,69,69,138,0,0
MEMORIAL SOUTH,DeKalb,69,69,138,0,0
METROPOLITAN,DeKalb,69,69,138,0,0
MIDVALE ELEM,DeKalb,69,69,138,0,0
MIDVALE ROAD,DeKalb,69,69,138,0,0
MIDWAY ELEM,DeKalb,69,69,138,0,0
MILLER-ELDRIDGE L. M,DeKalb,69,69,138,0,0
MILLER GROVE HIGH,DeKalb,69,69,138,0,0
MILLER GROVE MIDDLE,DeKalb,69,69,138,0,0
MILLER GROVE ROAD,DeKalb,69,69,138,0,0
MONTCLAIR ELEM,DeKalb,69,69,138,0,0
MONTGOMERY ELEM,DeKalb,69,69,138,0,0
MONTREAL,DeKalb,69,69,138,0,0
MT. VERNON EAST,DeKalb,69,69,138,0,0
MT. VERNON WEST,DeKalb,69,69,138,0,0
NORTH DECATUR,DeKalb,69,69,138,0,0
NORTH HAIRSTON,DeKalb,69,69,138,0,0
NORTH PEACHTREE,DeKalb,69,69,138,0,0
NORTHLAKE,DeKalb,69,69,138,0,0
OAK GROVE ELEM,DeKalb,69,69,138,0,0
OAK VIEW ELEM,DeKalb,69,69,138,0,0
OAKCLIFF ELEM,DeKalb,69,69,138,0,0
OAKHURST,DeKalb,69,69,138,0,0
PANOLA,DeKalb,69,69,138,0,0
PANOLA ROAD,DeKalb,69,69,138,0,0
PANOLA WAY ELEM,DeKalb,69,69,138,0,0
PEACHCREST ELEM,DeKalb,69,69,138,0,0
PEACHTREE MIDDLE,DeKalb,69,69,138,0,0
PINE LAKE,DeKalb,69,69,138,0,0
PINEY GROVE,DeKalb,69,69,138,0,0
PLEASANTDALE ELEM,DeKalb,69,69,138,0,0
PONCE DE LEON,DeKalb,69,69,138,0,0
PRINCETON ELEM,DeKalb,69,69,138,0,0
RAINBOW ELEM,DeKalb,69,69,138,0,0
REDAN ELEM,DeKalb,69,69,138,0,0
REDAN MIDDLE,DeKalb,69,69,138,0,0
REDAN ROAD,DeKalb,69,69,138,0,0
REDAN-TROTTI LIBRARY,DeKalb,69,69,138,0,0
REHOBOTH,DeKalb,69,69,138,0,0
RENFROE MIDDLE,DeKalb,69,69,138,0,0
ROCK CHAPEL ELEM,DeKalb,69,69,138,0,0
ROCK CHAPEL ROAD,DeKalb,69,69,138,0,0
ROCKBRIDGE ELEM,DeKalb,69,69,138,0,0
ROCKBRIDGE ROAD,DeKalb,69,69,138,0,0
ROWLAND ELEM,DeKalb,69,69,138,0,0
ROWLAND ROAD,DeKalb,69,69,138,0,0
SAGAMORE HILLS ELEM,DeKalb,69,69,138,0,0
SALEM MIDDLE,DeKalb,69,69,138,0,0
SCOTT,DeKalb,69,69,138,0,0
SHADOW ROCK ELEM,DeKalb,69,69,138,0,0
SHAMROCK,DeKalb,69,69,138,0,0
SHAW-ROBERT SHAW ELE,DeKalb,69,69,138,0,0
SILVER LAKE,DeKalb,69,69,138,0,0
SKYLAND,DeKalb,69,69,138,0,0
SMOKE RISE ELEM,DeKalb,69,69,138,0,0
SNAPFINGER ELEM,DeKalb,69,69,138,0,0
SNAPFINGER ROAD NORT,DeKalb,69,69,138,0,0
SNAPFINGER ROAD SOUT,DeKalb,69,69,138,0,0
SOUTH DESHON,DeKalb,69,69,138,0,0
SOUTH HAIRSTON,DeKalb,69,69,138,0,0
STEPHENSON HIGH,DeKalb,69,69,138,0,0
STEPHENSON MIDDLE,DeKalb,69,69,138,0,0
STONE MILL ELEM,DeKalb,69,69,138,0,0
STONE MOUNTAIN CHAMP,DeKalb,69,69,138,0,0
STONE MOUNTAIN ELEM,DeKalb,69,69,138,0,0
STONE MOUNTAIN LIBRA,DeKalb,69,69,138,0,0
STONE MOUNTAIN MIDDL,DeKalb,69,69,138,0,0
STONEVIEW ELEM,DeKalb,69,69,138,0,0
TERRY MILL ELEM,DeKalb,69,69,138,0,0
TILLY MILL ROAD,DeKalb,69,69,138,0,0
TONEY ELEM,DeKalb,69,69,138,0,0
TUCKER,DeKalb,69,69,138,0,0
TUCKER LIBRARY,DeKalb,69,69,138,0,0
VALLEY BROOK,DeKalb,69,69,138,0,0
WADSWORTH ELEM - 05,DeKalb,69,69,138,0,0
WADSWORTH ELEM - 04,DeKalb,69,69,138,0,0
WARREN TECH,DeKalb,69,69,138,0,0
WESLEY CHAPEL LIBRAR,DeKalb,69,69,138,0,0
WHITE OAK,DeKalb,69,69,138,0,0
WHITEFOORD ELEM,DeKalb,69,69,138,0,0
WINNONA PARK ELEM,DeKalb,69,69,138,0,0
WINTERS CHAPEL,DeKalb,69,69,138,0,0
WOODRIDGE ELEM,DeKalb,69,69,138,0,0
WOODROW ROAD,DeKalb,69,69,138,0,0
WOODWARD ELEM,DeKalb,69,69,138,0,0
WYNBROOKE ELEM,DeKalb,69,69,138,0,0
YOUNG ROAD,DeKalb,69,69,138,0,0
01A,Fulton,69,69,138,0,0
01B,Fulton,69,69,138,0,0
01C,Fulton,69,69,138,0,0
01D,Fulton,69,69,138,0,0
01E,Fulton,69,69,138,0,0
01F,Fulton,69,69,138,0,0
01G,Fulton,69,69,138,0,0
01H,Fulton,69,69,138,0,0
01J,Fulton,69,69,138,0,0
01P,Fulton,69,69,138,0,0
01R,Fulton,69,69,138,0,0
01S,Fulton,69,69,138,0,0
01T,Fulton,69,69,138,0,0
02A,Fulton,69,69,138,0,0
02B,Fulton,69,69,138,0,0
02C,Fulton,69,69,138,0,0
02D,Fulton,69,69,138,0,0
02E,Fulton,69,69,138,0,0
02F1,Fulton,69,69,138,0,0
02F2,Fulton,69,69,138,0,0
02G,Fulton,69,69,138,0,0
02J,Fulton,69,69,138,0,0
02K,Fulton,69,69,138,0,0
02L1,Fulton,69,69,138,0,0
02L2,Fulton,69,69,138,0,0
02S,Fulton,69,69,138,0,0
02W,Fulton,69,69,138,0,0
03A,Fulton,69,69,138,0,0
03B,Fulton,69,69,138,0,0
03C,Fulton,69,69,138,0,0
03D,Fulton,69,69,138,0,0
03E,Fulton,69,69,138,0,0
03F,Fulton,69,69,138,0,0
03G,Fulton,69,69,138,0,0
03H,Fulton,69,69,138,0,0
03I,Fulton,69,69,138,0,0
03L,Fulton,69,69,138,0,0
03M,Fulton,69,69,138,0,0
03N,Fulton,69,69,138,0,0
03P1A,Fulton,69,69,138,0,0
03P2,Fulton,69,69,138,0,0
03S,Fulton,69,69,138,0,0
03T,Fulton,69,69,138,0,0
04A,Fulton,69,69,138,0,0
04B,Fulton,69,69,138,0,0
04C,Fulton,69,69,138,0,0
04D,Fulton,69,69,138,0,0
04F,Fulton,69,69,138,0,0
04G,Fulton,69,69,138,0,0
04I,Fulton,69,69,138,0,0
04J,Fulton,69,69,138,0,0
04K,Fulton,69,69,138,0,0
04L,Fulton,69,69,138,0,0
04M,Fulton,69,69,138,0,0
04S,Fulton,69,69,138,0,0
04T,Fulton,69,69,138,0,0
04V,Fulton,69,69,138,0,0
04W,Fulton,69,69,138,0,0
04X1,Fulton,69,69,138,0,0
04X2,Fulton,69,69,138,0,0
05A1,Fulton,69,69,138,0,0
05A2,Fulton,69,69,138,0,0
05B,Fulton,69,69,138,0,0
05C,Fulton,69,69,138,0,0
05D,Fulton,69,69,138,0,0
05F,Fulton,69,69,138,0,0
05J,Fulton,69,69,138,0,0
05K,Fulton,69,69,138,0,0
06B,Fulton,69,69,138,0,0
06D,Fulton,69,69,138,0,0
06E,Fulton,69,69,138,0,0
06F,Fulton,69,69,138,0,0
06G,Fulton,69,69,138,0,0
06H,Fulton,69,69,138,0,0
06I,Fulton,69,69,138,0,0
06J,Fulton,69,69,138,0,0
06L1,Fulton,69,69,138,0,0
06L2,Fulton,69,69,138,0,0
06N,Fulton,69,69,138,0,0
06Q,Fulton,69,69,138,0,0
06R,Fulton,69,69,138,0,0
06S,Fulton,69,69,138,0,0
07A,Fulton,69,69,138,0,0
07B,Fulton,69,69,138,0,0
07C,Fulton,69,69,138,0,0
07D,Fulton,69,69,138,0,0
07E,Fulton,69,69,138,0,0
07F,Fulton,69,69,138,0,0
07H,Fulton,69,69,138,0,0
07J,Fulton,69,69,138,0,0
07M,Fulton,69,69,138,0,0
07N,Fulton,69,69,138,0,0
08A,Fulton,69,69,138,0,0
08B,Fulton,69,69,138,0,0
08C,Fulton,69,69,138,0,0
08D,Fulton,69,69,138,0,0
08E,Fulton,69,69,138,0,0
08F1,Fulton,69,69,138,0,0
08G,Fulton,69,69,138,0,0
08H,Fulton,69,69,138,0,0
08J,Fulton,69,69,138,0,0
08K,Fulton,69,69,138,0,0
08L,Fulton,69,69,138,0,0
08M,Fulton,69,69,138,0,0
08N1,Fulton,69,69,138,0,0
08N2,Fulton,69,69,138,0,0
08P,Fulton,69,69,138,0,0
09A,Fulton,69,69,138,0,0
09B,Fulton,69,69,138,0,0
09C,Fulton,69,69,138,0,0
09D,Fulton,69,69,138,0,0
09E,Fulton,69,69,138,0,0
09F,Fulton,69,69,138,0,0
09G,Fulton,69,69,138,0,0
09H,Fulton,69,69,138,0,0
09I,Fulton,69,69,138,0,0
09K,Fulton,69,69,138,0,0
09M,Fulton,69,69,138,0,0
10A,Fulton,69,69,138,0,0
10B,Fulton,69,69,138,0,0
10C,Fulton,69,69,138,0,0
10D,Fulton,69,69,138,0,0
10E,Fulton,69,69,138,0,0
10F,Fulton,69,69,138,0,0
10G,Fulton,69,69,138,0,0
10H,Fulton,69,69,138,0,0
10H,Fulton,69,69,138,0,0
10I,Fulton,69,69,138,0,0
10J,Fulton,69,69,138,0,0
10K,Fulton,69,69,138,0,0
10M,Fulton,69,69,138,0,0
10P,Fulton,69,69,138,0,0
10R,Fulton,69,69,138,0,0
11B,Fulton,69,69,138,0,0
11C,Fulton,69,69,138,0,0
11E1,Fulton,69,69,138,0,0
11E2,Fulton,69,69,138,0,0
11E3,Fulton,69,69,138,0,0
11G,Fulton,69,69,138,0,0
11H,Fulton,69,69,138,0,0
11J,Fulton,69,69,138,0,0
11K,Fulton,69,69,138,0,0
11M,Fulton,69,69,138,0,0
11N,Fulton,69,69,138,0,0
11P,Fulton,69,69,138,0,0
11R,Fulton,69,69,138,0,0
12A,Fulton,69,69,138,0,0
12D,Fulton,69,69,138,0,0
12E1,Fulton,69,69,138,0,0
12F,Fulton,69,69,138,0,0
12G,Fulton,69,69,138,0,0
12H,Fulton,69,69,138,0,0
12I,Fulton,69,69,138,0,0
12J,Fulton,69,69,138,0,0
12K,Fulton,69,69,138,0,0
12L,Fulton,69,69,138,0,0
12M,Fulton,69,69,138,0,0
12N,Fulton,69,69,138,0,0
12S,Fulton,69,69,138,0,0
AP01A,Fulton,69,69,138,0,0
AP01B,Fulton,69,69,138,0,0
AP01C,Fulton,69,69,138,0,0
AP01D,Fulton,69,69,138,0,0
AP02B,Fulton,69,69,138,0,0
AP03,Fulton,69,69,138,0,0
AP04A,Fulton,69,69,138,0,0
AP04B,Fulton,69,69,138,0,0
AP05,Fulton,69,69,138,0,0
AP06,Fulton,69,69,138,0,0
AP07A,Fulton,69,69,138,0,0
AP07B,Fulton,69,69,138,0,0
AP09A,Fulton,69,69,138,0,0
AP09B,Fulton,69,69,138,0,0
AP021,Fulton,69,69,138,0,0
AP022,Fulton,69,69,138,0,0
AP10,Fulton,69,69,138,0,0
AP12A,Fulton,69,69,138,0,0
AP12B,Fulton,69,69,138,0,0
AP12C,Fulton,69,69,138,0,0
AP13,Fulton,69,69,138,0,0
AP14,Fulton,69,69,138,0,0
CH01,Fulton,69,69,138,0,0
CH02,Fulton,69,69,138,0,0
CH03,Fulton,69,69,138,0,0
CH04A,Fulton,69,69,138,0,0
CH05,Fulton,69,69,138,0,0
CP01B,Fulton,69,69,138,0,0
CP011,Fulton,69,69,138,0,0
CP012,Fulton,69,69,138,0,0
CP02,Fulton,69,69,138,0,0
CP04,Fulton,69,69,138,0,0
CP05B,Fulton,69,69,138,0,0
CP051,Fulton,69,69,138,0,0
CP06A,Fulton,69,69,138,0,0
CP07A,Fulton,69,69,138,0,0
CP081,Fulton,69,69,138,0,0
